title,studio,lifetime_gross,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,releaseYear,releaseMonth,primaryTitle,numVotes,directors,category,primaryName,runtimeMinutes
Night at the Museum: Battle of the Smithsonian,Fox,177243721,movie,208440,10,1,6.0,pg,10,3.1,night at the museum: battle of the smithsonian (2009),action|comedy|imax,2009,5,Night at the Museum: Battle of the Smithsonian,208114,nm0506613,actor,Ben Stiller,105
Muppets from Space,Sony,16625807,movie,20354,10,1,6.2,g,9,3.17,muppets from space (1999),children|comedy,1999,7,Muppets from Space,20333,nm0384722,actor,Dave Goelz,87
The Terrorist,Pha.,153629,movie,2034,10,1,7.0,unrated,1,3.0,terrorist  the (a.k.a. malli) (theeviravaathi) (1998),drama,2000,10,The Terrorist,2033,nm0007144,actress,Ayesha Dharker,95
Your Highness,Uni.,21596445,movie,103669,10,1,5.5,r,9,3.11,your highness (2011),action|adventure|comedy|fantasy,2011,4,Your Highness,103613,nm0337773,actor,Danny McBride,102
Junior,Uni.,36763355,movie,71922,10,1,4.7,pg-13,35,2.83,junior (1994),comedy|sci-fi,1994,11,Junior,71843,nm0718645,actor,Arnold Schwarzenegger,109
Star Trek VI: The Undiscovered Country,Par.,74888996,movie,79667,10,1,7.2,pg,42,3.35,star trek vi: the undiscovered country (1991),action|mystery|sci-fi,1991,12,Star Trek VI: The Undiscovered Country,79589,nm0583292,actor,William Shatner,110
The Reaping,WB,25126214,movie,44270,10,1,5.6,r,3,2.5,reaping  the (2007),horror|thriller,2007,4,The Reaping,44252,nm0394280,actress,Hilary Swank,99
Bed of Roses,NL,19030691,movie,8659,10,1,6.0,pg,8,4.0,bed of roses (1996),drama|romance,1996,1,Bed of Roses,8650,nm0325533,actor,Christian Slater,87
Urban Legends: Final Cut,Sony,21468807,movie,18730,10,1,4.4,r,3,1.5,urban legends: final cut (2000),horror,2000,9,Urban Legends: Final Cut,18698,nm0653211,actress,Jennifer Morrison,97
All Over the Guy,Lions,1022324,movie,4946,10,1,6.4,r,1,3.0,all over the guy (2001),comedy,2002,3,All Over the Guy,4942,nm0006874,actor,Dan Bucatinsky,95
The Mission,WB,17218023,movie,64497,10,1,7.4,pg,9,3.5,mission  the (1986),drama,1986,10,The Mission,64421,nm0423646,actor,Robert De Niro,125
The Apple,NYer,15207,movie,2674,10,1,7.2,"",1,4.0,apple  the (sib) (1998),drama,1999,2,The Apple,2672,nm0538533,actress,Massoumeh Naderi,86
Hancock,Sony,227946274,movie,503763,10,1,6.4,pg-13,29,3.03,hancock (2008),action|adventure|comedy|crime|fantasy,2008,7,Hancock,503165,nm0000916,actor,Will Smith,92
Rebel Without a Cause,WB,199963,movie,96187,10,1,7.6,pg-13,15,4.1,rebel without a cause (1955),drama,1955,10,Rebel Without a Cause,96064,nm0712947,actor,James Dean,111
She's Gotta Have It,Isld,7137502,movie,15970,10,1,6.8,r,6,3.33,she's gotta have it (1986),comedy|romance,1986,8,She's Gotta Have It,15960,nm0000490,actress,Tracy Camilla Johns,84
An American Tail: Fievel Goes West,Uni.,22166041,movie,27768,10,1,6.5,g,10,2.7,american tail: fievel goes west  an (1991),adventure|animation|children|musical|western,1991,11,An American Tail: Fievel Goes West,27720,"nm0920425,nm0629216",actor,James Stewart,75
A Civil Action,BV,56709981,movie,30660,10,1,6.6,pg-13,11,3.05,civil action  a (1998),drama,1999,1,A Civil Action,30636,nm0001873,actor,John Travolta,115
A Cinderella Story,WB,51438175,movie,92361,10,1,5.9,pg,9,3.28,cinderella story  a (2004),comedy|romance,2004,7,A Cinderella Story,92250,nm0743093,actress,Hilary Duff,95
King Solomon's Mines,Can.,15057465,movie,14612,10,1,5.2,pg-13,1,2.5,king solomon's mines (1985),adventure|comedy,1985,11,King Solomon's Mines,14587,nm0496746,actor,Richard Chamberlain,100
Turtle Diary,Gold.,2156772,movie,817,10,1,6.8,pg,2,4.0,turtle diary (1985),comedy|drama|romance,1986,2,Turtle Diary,816,nm0410139,actress,Glenda Jackson,97
Tangled,BV,200821936,movie,481687,10,1,7.7,pg,24,3.92,tangled (2010),animation|children|comedy|fantasy|musical|romance|imax,2010,11,Tangled,480815,"nm1977355,nm0397174",actress,Mandy Moore,100
Poolhall Junkies,GldC,563711,"","","","","","",3,3.83,poolhall junkies (2002),comedy|drama|thriller,"","",Poolhall Junkies,10642,nm0552358,actor,Mars Callahan,99
"I, Frankenstein",LGF,19075290,movie,83175,10,1,5.1,pg-13,2,2.25,i  frankenstein (2014),action|fantasy|sci-fi|imax,2014,1,"I, Frankenstein",83123,nm0064181,actor,Aaron Eckhart,92
Sugar Hill,Fox,18225518,"","","","","","",2,2.25,sugar hill (1994),drama,"","",Sugar Hill,4764,nm0406687,actor,Wesley Snipes,123
The Good Thief,FoxS,3517797,movie,10814,10,1,6.5,r,1,4.0,good thief  the (2002),crime|drama,2003,4,The Good Thief,10810,nm0001403,actor,Nick Nolte,109
Outland,WB,17374595,movie,31757,10,1,6.6,r,2,2.75,outland (1981),action|sci-fi|thriller,1981,5,Outland,31705,nm0001382,actor,Sean Connery,109
The Glass Menagerie,Cinpx,895904,movie,2195,10,1,7.1,pg,2,3.0,glass menagerie  the (1987),drama,1987,5,The Glass Menagerie,2187,nm0000056,actress,Joanne Woodward,134
The Queen,Mira.,56441711,movie,114884,10,1,7.3,pg-13,13,3.73,the queen (2006),drama,2006,11,The Queen,114831,nm0001241,actress,Helen Mirren,103
"Black Cat, White Cat",USA,351447,movie,55740,10,1,8.0,r,9,3.94,black cat  white cat (crna macka  beli macor) (1998),comedy|romance,1998,6,"Black Cat, White Cat",55671,nm0001437,actor,Bajram Severdzan,127
Dickie Roberts: Former Child Star,Par.,22738671,movie,15309,10,1,5.5,pg-13,5,2.3,dickie roberts: former child star (2003),comedy,2003,9,Dickie Roberts: Former Child Star,15298,nm0918873,actor,David Spade,98
Hero,Col.,19507345,movie,23326,10,1,6.5,pg-13,5,2.5,hero (1992),comedy|drama,1992,10,Hero,23294,nm0001241,actor,Dustin Hoffman,119
Chill Factor,WB,11263966,"","","","","","",1,1.0,chill factor (1999),action|adventure|comedy|thriller,"","",Chill Factor,10007,nm0425244,actor,Cuba Gooding Jr.,102
Snitch,LG/S,42930462,movie,91837,10,1,6.4,pg-13,1,3.5,snitch (2013),action|drama|thriller,2013,2,Snitch,91763,nm0006846,actor,Dwayne Johnson,112
Whale Rider,NM,20779666,movie,43658,10,1,7.5,pg-13,14,3.75,whale rider (2002),drama,2003,8,Whale Rider,43633,nm0138927,actress,Keisha Castle-Hughes,101
Knocked Up,Uni.,148768917,"","","","","","",52,3.65,knocked up (2007),comedy|drama|romance,"","",Knocked Up,379981,nm0031976,actor,Seth Rogen,129
Jiro Dreams of Sushi,Magn.,2552478,movie,37466,10,1,7.8,pg,5,4.1,jiro dreams of sushi (2011),documentary,2012,3,Jiro Dreams of Sushi,37428,nm0312173,self,Jiro Ono,81
Singles,WB,18471850,movie,32062,10,1,6.7,pg-13,11,3.18,singles (1992),comedy|drama|romance,1992,9,Singles,32008,nm0001081,actress,Bridget Fonda,99
Darwin's Nightmare,ICir,203746,movie,5628,10,1,7.4,"",1,4.0,darwin's nightmare (2004),documentary,2005,1,Darwin's Nightmare,5624,nm0767012,self,Elizabeth 'Eliza' Maganga Nsese,107
Sky Captain and the World of Tomorrow,Par.,37762677,movie,86806,10,1,6.1,pg,18,2.64,sky captain and the world of tomorrow (2004),action|adventure|sci-fi,2004,9,Sky Captain and the World of Tomorrow,86772,nm0175775,actress,Gwyneth Paltrow,106
Hotel Transylvania,Sony,148313048,movie,274162,10,1,7.0,pg,11,3.41,hotel transylvania (2012),animation|children|comedy,2012,9,Hotel Transylvania,273482,nm0850733,actor,Adam Sandler,91
Beginners,Focus,5790894,movie,94139,10,1,7.2,r,4,3.63,beginners (2010),drama,2011,6,Beginners,94102,nm0590122,actor,Ewan McGregor,105
Crimson Peak,Uni.,31090320,movie,155906,10,1,6.5,r,1,3.5,crimson peak (2015),horror,2015,10,Crimson Peak,155662,nm0868219,actress,Mia Wasikowska,119
The Fiendish Plot of Dr. Fu Manchu,WB,10697276,movie,2345,10,1,4.9,pg,1,2.0,fiendish plot of dr. fu manchu  the (1980),comedy,1980,8,The Fiendish Plot of Dr. Fu Manchu,2343,"nm0353592,nm0703689,nm0000634",actor,Peter Sellers,100
9,Focus,31749894,movie,145327,10,1,7.0,pg-13,14,3.64,9 (2009),adventure|animation|sci-fi,2009,9,9,145151,nm0009942,actor,Elijah Wood,79
The FP,Drft.,40557,movie,1803,10,1,5.4,r,1,4.5,the fp (2012),comedy,2011,3,The FP,1802,"nm1060930,nm1875808",actor,Jason Trost,82
A Perfect World,WB,31130999,movie,85248,10,1,7.5,pg-13,13,3.38,perfect world  a (1993),crime|drama|thriller,1993,11,A Perfect World,85120,nm0000142,actor,Kevin Costner,138
Long Night's Journey Into Day,7Art,50715,movie,265,10,1,7.5,not rated,1,4.0,long night's journey into day (2000),documentary,2001,12,Long Night's Journey Into Day,265,"nm0389161,nm0717266",self,Mary Burton,94
Sister Act,BV,139605150,movie,105975,10,1,6.5,pg,36,3.03,sister act (1992),comedy|crime,1992,5,Sister Act,105736,nm0001915,actress,Whoopi Goldberg,100
Showgirls,MGM,20350754,movie,72679,10,1,5.0,nc-17,35,2.47,showgirls (1995),drama,1995,9,Showgirls,72529,nm0000682,actress,Elizabeth Berkley,128
Schizopolis,N.Arts,10580,movie,5976,10,1,6.7,not rated,1,3.5,schizopolis (1996),comedy,1997,4,Schizopolis,5972,nm0001752,actor,Steven Soderbergh,96
Stakeout,BV,65673233,movie,28077,10,1,6.7,r,8,3.0,stakeout (1987),comedy|crime|romance|thriller,1987,8,Stakeout,28039,nm0000824,actor,Richard Dreyfuss,117
Free Enterprise,Reg.,30229,movie,3342,10,1,6.7,r,3,3.0,free enterprise (1998),comedy|romance|sci-fi,1999,6,Free Enterprise,3338,nm0122428,actor,Rafer Weigel,113
The Sitter,Fox,30441326,movie,72068,10,1,5.6,r,5,2.9,sitter  the (2011),comedy,2011,12,The Sitter,72046,nm0337773,actor,Jonah Hill,81
Meet the Applegates,Trit,485772,movie,2553,10,1,5.4,r,1,2.0,meet the applegates (1991),comedy,1991,2,Meet the Applegates,2551,nm0499724,actor,Ed Begley Jr.,90
Promised Land,Vest,316199,movie,39478,10,1,6.6,r,1,3.0,promised land (2012),drama,2013,1,Promised Land,39449,nm0001814,actor,Matt Damon,106
Kong: Skull Island,WB,168052812,movie,337556,10,1,6.7,pg-13,4,3.13,kong: skull island (2017),action|adventure|fantasy,2017,3,Kong: Skull Island,337067,nm3611349,actor,Tom Hiddleston,118
A Few Good Men,Col.,141340178,"","","","","","",57,3.79,few good men  a (1992),crime|drama|thriller,"","",A Few Good Men,280107,nm0001661,actor,Tom Cruise,138
Bangkok Dangerous,LGF,15298133,movie,57894,10,1,5.3,r,2,3.25,bangkok dangerous (2008),action|crime|thriller,2008,9,Bangkok Dangerous,57859,"nm0659380,nm0161152",actor,Nicolas Cage,99
27 Dresses,Fox,76808654,movie,171779,10,1,6.1,pg-13,20,3.3,27 dresses (2008),comedy|romance,2008,1,27 Dresses,171553,nm0281945,actress,Katherine Heigl,111
What Happens in Vegas,Fox,80277646,movie,184984,10,1,6.1,pg-13,8,2.75,what happens in vegas... (2008),comedy|romance,2008,5,What Happens in Vegas,184785,nm0891114,actress,Cameron Diaz,99
Maid to Order,NCeV,9868521,movie,3589,10,1,5.5,pg,3,1.83,maid to order (1987),comedy|fantasy,1987,7,Maid to Order,3588,nm0427468,actress,Ally Sheedy,93
"He Said, She Said",Par.,9804775,movie,7239,10,1,5.7,pg-13,1,2.0,he said  she said (1991),comedy|drama|romance,1991,2,"He Said, She Said",7228,"nm0477129,nm0798749",actor,Kevin Bacon,115
The Promise,Uni.,11606005,movie,8429,10,1,7.7,not rated,2,4.5,promise  the (la promesse) (1996),drama,1997,5,The Promise,8422,"nm0201094,nm0201095",actor,Jérémie Renier,90
The Texas Chainsaw Massacre,NL,80571655,movie,150405,10,1,6.2,r,7,1.86,texas chainsaw massacre  the (2003),horror,2003,10,The Texas Chainsaw Massacre,150152,nm1197971,actress,Jessica Biel,98
Maximum Ride,TUG,4218,movie,4663,10,1,3.6,pg-13,1,4.5,maximum ride (2016),action|adventure|comedy|fantasy|sci-fi|thriller,2016,8,Maximum Ride,4663,nm2371848,actress,Allie Marie Evans,88
The Last Seduction,Oct.,5842603,"","","","","","",2,3.25,last seduction  the (1994),crime|drama|thriller,"","",The Last Seduction,25186,nm0001093,actress,Linda Fiorentino,110
Body Heat,WB,24058838,movie,39263,10,1,7.4,r,10,4.0,body heat (1981),crime|thriller,1981,8,Body Heat,39196,nm0001410,actor,William Hurt,113
Mission: Impossible - Rogue Nation,Par.,195042377,movie,402664,10,1,7.4,pg-13,17,3.65,mission: impossible - rogue nation (2015),action|adventure|thriller,2015,7,Mission: Impossible - Rogue Nation,402042,nm0003160,actor,Tom Cruise,131
Alice Through the Looking Glass,BV,77041381,movie,118651,10,1,6.2,pg,4,2.0,alice through the looking glass (2016),adventure|children|fantasy,2016,5,Alice Through the Looking Glass,118367,nm0090386,actress,Mia Wasikowska,113
The Road Warrior,WB,23667907,movie,189670,10,1,7.6,r,40,4.04,road warrior  the (mad max 2) (1981),action|adventure|sci-fi|thriller,1982,5,The Road Warrior,189464,nm0004306,actor,Mel Gibson,96
The Thing Called Love,Par.,1029721,movie,8593,10,1,6.4,pg-13,2,3.5,thing called love  the (1993),comedy|drama|romance,1993,8,The Thing Called Love,8583,nm0000953,actor,River Phoenix,116
Ghostbusters II,Col.,112494738,movie,218375,10,1,6.6,pg,47,3.0,ghostbusters ii (1989),comedy|fantasy|sci-fi,1989,6,Ghostbusters II,217914,nm0718645,actor,Bill Murray,108
Anastasia,Fox,58406347,movie,132762,10,1,7.1,g,20,3.35,anastasia (1997),adventure|animation|children|drama|musical,1997,11,Anastasia,132470,"nm0089940,nm0325776",actress,Meg Ryan,94
Greenberg,Focus,4234170,"","","","","","",3,2.33,greenberg (2010),comedy|drama,"","",Greenberg,39059,nm0000876,actor,Ben Stiller,107
The Town Is Quiet,NYer,441664,movie,1274,10,1,7.2,"",1,4.0,town is quiet  the (ville est tranquille  la) (2000),drama,2001,1,The Town Is Quiet,1274,nm0350168,actress,Ariane Ascaride,133
Luther,RS,5791328,movie,15864,10,1,6.6,pg-13,1,4.0,luther (2003),drama,2003,9,Luther,15854,nm0863254,actor,Joseph Fiennes,123
The Haunting in Connecticut,LGF,55389516,movie,64429,10,1,5.8,pg-13,2,2.5,haunting in connecticut  the (2009),horror|thriller,2009,3,The Haunting in Connecticut,64323,nm1433996,actress,Virginia Madsen,92
Disconnect,LD,1436900,movie,77619,10,1,7.5,r,1,1.5,disconnect (2012),drama|thriller,2013,7,Disconnect,77576,nm0748066,actor,Jason Bateman,115
Kitchen Stories,IFC,351235,"","","","","","",3,3.67,kitchen stories (salmer fra kjøkkenet) (2003),comedy|drama,"","",Kitchen Stories,8543,nm0357584,actor,Tomas Norström,95
Feast,W/Dim.,56131,movie,33410,10,1,6.2,r,2,2.75,feast (2005),action|comedy|horror|thriller,2007,1,Feast,33371,nm0347657,actress,Navi Rawat,95
Il Divo,MBox,240159,movie,18735,10,1,7.2,not rated,2,4.0,divo  il (2008),drama,2008,5,Il Divo,18722,nm0815204,actor,Toni Servillo,110
The Kite Runner,ParV,15800078,movie,81944,10,1,7.6,pg-13,3,3.33,kite runner  the (2007),drama,2008,1,The Kite Runner,81884,nm0286975,actor,Khalid Abdalla,128
A Prairie Home Companion,PicH,20342852,movie,23402,10,1,6.7,pg-13,6,3.67,prairie home companion  a (2006),comedy|drama|musical,2006,6,A Prairie Home Companion,23391,nm0000265,actress,Lily Tomlin,105
Dummy,Art.,71646,movie,6838,10,1,6.6,r,4,3.63,dummy (2002),comedy|drama|romance,2021,4,Dummy,6836,nm0698119,actor,Adrien Brody,91
In the Heart of the Sea,WB,25020758,movie,146227,10,1,6.9,pg-13,3,3.5,in the heart of the sea (2015),action|adventure|drama,2015,12,In the Heart of the Sea,146043,nm0000165,actor,Chris Hemsworth,122
Requiem,IFC,9600,movie,6065,10,1,6.9,tv-ma,1,3.5,requiem (2006),drama|thriller,2006,3,Requiem,6050,nm0772691,actress,Sandra Hüller,93
The House,WB (NL),25584504,movie,46271,10,1,5.6,r,1,3.5,the house (2017),comedy,2017,6,The House,46201,nm1157527,actor,Will Ferrell,88
The Last King of Scotland,FoxS,17606684,"","","","","","",20,3.98,last king of scotland  the (2006),drama|thriller,"","",The Last King of Scotland,193367,nm0531817,actor,James McAvoy,123
In Time,Fox,37520095,movie,436093,10,1,6.7,pg-13,14,3.39,in time (2011),crime|sci-fi|thriller,2011,10,In Time,435332,nm0629272,actor,Justin Timberlake,109
The Morning After,Fox,25147055,movie,7250,10,1,5.9,r,2,4.0,morning after  the (1986),drama|mystery,1986,12,The Morning After,7232,nm0001486,actress,Jane Fonda,103
What Love Is,BSky,18901,"","","","","","",1,5.0,what love is (2007),comedy|romance,"","",What Love Is,1471,nm0552358,actor,Cuba Gooding Jr.,93
How the Grinch Stole Christmas,Uni.,260044825,movie,273815,10,1,6.3,pg,33,3.05,how the grinch stole christmas (a.k.a. the grinch) (2000),children|comedy|fantasy,2000,11,How the Grinch Stole Christmas,273168,nm0000165,actor,Jim Carrey,104
Youth Without Youth,SPC,244397,movie,13952,10,1,6.1,r,1,2.5,youth without youth (2007),drama|romance|sci-fi,2007,10,Youth Without Youth,13942,nm0000338,actor,Tim Roth,124
The Zero Theorem,Ampl.,257706,movie,49104,10,1,6.0,r,3,3.0,zero theorem  the (2013),drama|fantasy|sci-fi,2014,8,The Zero Theorem,49065,nm0000416,actor,Christoph Waltz,107
Open Season,Sony,85105259,movie,103491,10,1,6.1,pg,2,3.0,open season (2006),adventure|animation|children|comedy|imax,2006,9,Open Season,103325,"nm0021249,nm0191717,nm0820934",actor,Ashton Kutcher,86
All the Right Moves,Fox,17233166,movie,20056,10,1,6.0,r,2,2.25,all the right moves (1983),drama|romance,1983,10,All the Right Moves,20040,nm0152469,actor,Tom Cruise,91
The Night Before,Sony,43047372,movie,3521,10,1,6.1,pg-13,1,3.0,the night before (1988),comedy,1988,4,The Night Before,3513,nm0248054,actor,Keanu Reeves,90
Dracula Untold,Uni.,56280355,movie,204614,10,1,6.2,pg-13,4,3.5,dracula untold (2014),action|drama|fantasy,2014,10,Dracula Untold,204322,nm2411495,actor,Luke Evans,92
Soldier,WB,14594226,movie,58819,10,1,6.0,r,8,3.06,soldier (1998),action|sci-fi|war,1998,10,Soldier,58782,nm0027271,actor,Kurt Russell,99
Focus,ParC,645418,"","","","","","",1,3.5,focus (2001),drama,"","",Focus,3102,nm0805595,actor,William H. Macy,106
Lola Versus,FoxS,252603,movie,8927,10,1,5.5,r,1,1.5,lola versus (2012),comedy|romance,2012,6,Lola Versus,8923,nm0918078,actress,Greta Gerwig,87
The Nanny Diaries,MGM/W,25930652,movie,63078,10,1,6.2,pg-13,3,3.17,nanny diaries  the (2007),comedy|drama|romance,2007,8,The Nanny Diaries,63012,"nm0075849,nm0700301",actress,Scarlett Johansson,106
The Godfather Part III,Par.,66666062,movie,416202,10,1,7.6,r,45,3.36,godfather: part iii  the (1990),crime|drama|mystery|thriller,1990,12,The Godfather Part III,415646,nm0000338,actor,Al Pacino,162
House Party 3,NL,19281235,movie,5561,10,1,4.6,r,1,1.0,house party 3 (1994),comedy,1994,1,House Party 3,5560,nm0583754,actor,Christopher Reid,100
The Roommate,SGem,37300107,movie,40801,10,1,4.8,pg-13,1,2.0,roommate  the (2011),drama|thriller,2011,2,The Roommate,40766,nm0160157,actress,Minka Kelly,94
To Kill a Mockingbird,Uni.,592237,movie,327748,10,1,8.3,approved,58,4.12,to kill a mockingbird (1962),drama,1963,3,To Kill a Mockingbird,327411,nm0612322,actor,Gregory Peck,129
The Mask of Zorro,Sony,94095523,movie,194285,10,1,6.8,pg-13,60,3.1,mask of zorro  the (1998),action|comedy|romance,1998,7,The Mask of Zorro,194069,nm0132709,actor,Antonio Banderas,136
Upside Down,MNE,105095,movie,73409,10,1,6.3,pg-13,1,3.0,upside down (2012),drama|romance|sci-fi,2013,5,Upside Down,73368,nm0812626,actor,Jim Sturgess,109
Fire and Ice,Fox,760883,movie,12096,10,1,6.5,pg,1,1.5,fire and ice (1983),animation|fantasy,1983,8,Fire and Ice,12062,nm0000835,actor,Randy Norton,81
Nowhere in Africa,Zeit.,6180200,movie,13799,10,1,7.5,r,2,3.75,nowhere in africa (nirgendwo in afrika) (2001),drama,2003,5,Nowhere in Africa,13789,nm0512862,actress,Juliane Köhler,141
For Your Eyes Only,MGM,54812802,movie,106367,10,1,6.7,pg,21,3.55,for your eyes only (1981),action|adventure|thriller,1981,6,For Your Eyes Only,106184,nm0322515,actor,Roger Moore,127
Moonstruck,MGM,80640528,"","","","","","",27,3.56,moonstruck (1987),comedy|romance,"","",Moonstruck,65147,nm0422484,actress,Cher,102
Blind Fury,TriS,2692037,movie,18291,10,1,6.3,r,2,3.25,blind fury (1989),action|thriller,1990,3,Blind Fury,18272,nm0637518,actor,Rutger Hauer,86
Born to Be Wild,WB,3730409,movie,1645,10,1,5.1,pg,1,0.5,born to be wild (1995),adventure|children|comedy|drama,1995,3,Born to Be Wild,1639,nm0336726,actor,Wil Horneff,100
The Expendables 2,LGF,85028192,movie,318847,10,1,6.6,r,10,3.5,expendables 2  the (2012),action|adventure,2012,8,The Expendables 2,318527,nm0922346,actor,Sylvester Stallone,103
Bruce Almighty,Uni.,242829261,movie,424233,10,1,6.8,pg-13,71,3.32,bruce almighty (2003),comedy|drama|fantasy|romance,2003,5,Bruce Almighty,423697,nm0001723,actor,Jim Carrey,101
Julie & Julia,Sony,94125426,movie,126693,10,1,7.0,pg-13,12,2.96,julie & julia (2009),comedy|drama|romance,2009,8,Julie & Julia,126534,nm0001188,actress,Amy Adams,123
Father of the Bride Part II,BV,76594107,movie,40861,10,1,6.1,pg,49,3.07,father of the bride part ii (1995),comedy,1995,12,Father of the Bride Part II,40805,nm0796124,actor,Steve Martin,106
Johnny English,Uni.,28082366,movie,170929,10,1,6.2,pg,13,2.96,johnny english (2003),action|comedy|thriller,2003,7,Johnny English,170694,nm0398185,actor,Rowan Atkinson,89
Ride Along 2,Uni.,91221830,movie,61962,10,1,5.9,pg-13,3,2.0,ride along 2 (2016),action|comedy,2016,1,Ride Along 2,61898,nm1103162,actor,Ice Cube,102
Knock Knock,LGP,36336,movie,102008,10,1,4.9,r,1,1.5,knock knock (2015),crime|horror|thriller,2015,10,Knock Knock,101839,nm0744834,actor,Keanu Reeves,99
Whatever,SPC,307037,movie,1031,10,1,6.3,r,2,3.5,whatever (1998),drama,1998,7,Whatever,1031,nm0804641,actress,Liza Weil,112
Balls of Fury,Rog.,32886940,movie,44290,10,1,5.3,pg-13,3,2.83,balls of fury (2007),comedy,2007,8,Balls of Fury,44241,nm0304830,actor,Dan Fogler,90
Your Sister's Sister,IFC,1636190,movie,28167,10,1,6.7,r,1,4.0,your sister's sister (2011),comedy|drama,2012,6,Your Sister's Sister,28150,nm1119645,actor,Mark Duplass,90
Death and the Maiden,FL,3103716,movie,26272,10,1,7.2,r,7,3.43,death and the maiden (1994),drama|thriller,1995,1,Death and the Maiden,26230,nm0000591,actress,Sigourney Weaver,103
Exotica,Mira.,4221036,"","","","","","",12,3.5,exotica (1994),drama,"","",Exotica,20741,nm0000382,actor,Bruce Greenwood,103
Oldboy,Tar.,707481,movie,79533,10,1,5.8,r,2,3.0,oldboy (2013),action|drama|mystery,2013,11,Oldboy,79465,nm0000490,actor,Josh Brolin,104
Jaws,Uni.,260000000,movie,645028,10,1,8.1,pg,91,4.01,jaws (1975),action|horror,1975,6,Jaws,643948,nm0000229,actor,Roy Scheider,124
Raise Your Voice,NL,10411980,movie,28643,10,1,5.8,pg,1,5.0,raise your voice (2004),romance,2004,10,Raise Your Voice,28627,nm0573732,actress,Hilary Duff,107
Goosebumps,Sony,80080379,movie,94090,10,1,6.3,pg,2,2.0,goosebumps (2015),adventure|comedy|horror,2015,10,Goosebumps,93894,nm1224299,actor,Jack Black,103
Stanley & Iris,MGM,5820015,movie,8362,10,1,6.3,pg-13,2,2.75,stanley & iris (1990),drama|romance,1990,2,Stanley & Iris,8352,nm0728688,actress,Jane Fonda,104
Porky's II: The Next Day,Fox,33759266,movie,12586,10,1,5.0,r,4,1.75,porky's ii: the next day (1983),comedy,1983,6,Porky's II: The Next Day,12573,nm0163706,actor,Dan Monahan,98
Metroland,Lions,26682,movie,3560,10,1,6.3,r,1,3.0,metroland (1997),comedy|drama,1998,8,Metroland,3556,nm0767697,actor,Christian Bale,105
Shortbus,Think,1985292,movie,34961,10,1,6.4,not rated,3,4.0,shortbus (2006),comedy|drama|romance,2006,10,Shortbus,34931,nm0593463,actress,Sook-Yin Lee,101
Strange Wilderness,ParC,6575282,movie,22546,10,1,5.2,r,2,3.25,strange wilderness (2008),comedy,2008,2,Strange Wilderness,22535,nm0937748,actor,Steve Zahn,87
A Decade Under the Influence,IFC,34837,movie,2784,10,1,7.6,r,3,3.5,decade under the influence  a (2003),documentary,2003,1,A Decade Under the Influence,2784,"nm0001130,nm0481418",self,Francis Ford Coppola,138
Fences,Par.,57682904,movie,115121,10,1,7.2,pg-13,1,3.0,fences (2016),drama,2016,12,Fences,114889,nm0000243,actor,Denzel Washington,139
