movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title,genres,smallLensTagCount,releaseYear,releaseMonth
30,tt0115012,37557,movie,5938,10,1,7.1,r,3,3.0,shanghai triad (yao a yao yao dao waipo qiao) (1995),crime|drama,"",1995,12
31,tt0112792,9909,"","","","","","",38,3.18,dangerous minds (1995),drama,2,"",""
32,tt0114746,63,movie,637741,10,1,8.0,r,177,3.98,twelve monkeys (a.k.a. 12 monkeys) (1995),mystery|sci-fi|thriller,10,1996,01
34,tt0112431,9598,movie,131784,10,1,6.9,g,128,3.65,babe (1995),children|drama,3,1995,08
36,tt0112818,687,movie,100046,10,1,7.5,r,67,3.84,dead man walking (1995),crime|drama,2,1996,02
38,tt0113442,33689,movie,24336,10,1,5.9,pg,4,2.13,it takes two (1995),children|comedy,1,1995,11
39,tt0112697,9603,movie,237713,10,1,6.9,pg-13,104,3.29,clueless (1995),comedy|romance,7,1995,07
40,tt0112749,34615,movie,1953,10,1,6.8,pg-13,2,4.25,cry  the beloved country (1995),drama,2,1995,12
41,tt0114279,31174,movie,15359,10,1,7.3,r,15,3.7,richard iii (1995),drama|war,1,1995,12
42,tt0112819,11443,movie,23935,10,1,6.9,r,7,3.0,dead presidents (1995),action|crime|drama,"",1995,10
43,tt0114272,35196,movie,9794,10,1,6.6,r,8,3.19,restoration (1995),drama,1,1996,02
44,tt0113855,9312,movie,123029,10,1,5.8,pg-13,46,2.54,mortal kombat (1995),action|adventure|fantasy,"",1995,08
45,tt0114681,577,movie,51507,10,1,6.8,r,32,3.31,to die for (1995),comedy|drama|thriller,1,1995,10
46,tt0113347,11861,"","","","","","",15,3.07,how to make an american quilt (1995),drama|romance,1,"",""
47,tt0114369,807,"","","","","","",203,3.98,seven (a.k.a. se7en) (1995),mystery|thriller,3,"",""
48,tt0114148,10530,movie,198847,10,1,6.7,g,68,3.15,pocahontas (1995),animation|children|drama|musical|romance,"",1995,06
49,tt0114916,8391,movie,7339,10,1,6.5,unrated,1,3.0,when night is falling (1995),drama|romance,"",1995,11
50,tt0114814,629,movie,1125102,10,1,8.5,r,204,4.24,usual suspects  the (1995),crime|mystery|thriller,6,1995,08
52,tt0113819,11448,movie,42148,10,1,7.0,r,28,3.46,mighty aphrodite (1995),comedy|drama|romance,2,1995,11
53,tt0110299,49133,movie,2354,10,1,7.4,"",2,5.0,lamerica (1994),adventure|drama,"",1995,10
54,tt0112499,26441,movie,10760,10,1,5.5,pg,3,2.33,big green  the (1995),children|comedy,"",1995,09
55,tt0113158,97406,movie,3282,10,1,6.5,r,1,4.0,georgia (1995),drama,"",1995,12
57,tt0113321,9089,movie,14022,10,1,6.5,pg-13,8,3.06,home for the holidays (1995),drama,"",1995,11
58,tt0110877,11010,movie,38418,10,1,7.8,pg,37,4.03,postman  the (postino  il) (1994),comedy|drama|romance,1,1996,03
60,tt0113419,11359,movie,30588,10,1,6.0,pg,34,3.24,indian in the cupboard  the (1995),adventure|children|fantasy,"",1995,07
61,tt0116260,17182,movie,18491,10,1,6.2,r,6,3.75,eye for an eye (1996),drama|thriller,"",1996,01
62,tt0113862,2054,movie,41189,10,1,7.3,pg,80,3.71,mr. holland's opus (1995),drama,1,1996,01
63,tt0116126,10607,movie,60149,10,1,6.5,r,7,2.71,don't be a menace to south central while drinking your juice in the hood (1996),comedy|crime,"",1996,01
64,tt0118002,19760,"","","","","","",5,2.2,two if by sea (1996),comedy|romance,"","",""
65,tt0115683,9536,"","","","","","",31,2.53,bio-dome (1996),comedy,"","",""
66,tt0116839,11525,movie,10064,10,1,2.5,pg-13,9,2.5,lawnmower man 2: beyond cyberspace (1996),action|sci-fi|thriller,"",1996,01
68,tt0113149,4482,movie,5282,10,1,6.4,r,5,3.4,french twist (gazon maudit) (1995),comedy|romance,"",1996,01
69,tt0113118,10634,movie,121742,10,1,7.2,r,20,3.78,friday (1995),comedy,"",1995,04
70,tt0116367,755,movie,333224,10,1,7.2,r,55,3.51,from dusk till dawn (1996),action|comedy|horror|thriller,"",1996,01
71,tt0113010,11859,movie,13623,10,1,4.3,r,5,1.7,fair game (1995),action,"",1995,11
72,tt0113537,28387,"","","","","","",7,3.21,kicking and screaming (1995),comedy|drama,"","",""
73,tt0113828,48750,movie,3961,10,1,7.5,r,13,3.46,misérables  les (1995),drama|war,"",1995,11
74,tt0115644,20927,movie,8659,10,1,6.0,pg,8,4.0,bed of roses (1996),drama|romance,"",1996,01
75,tt0115676,36929,movie,5467,10,1,4.8,pg,5,2.2,big bully (1996),comedy|drama,"",1996,01
76,tt0114367,9102,movie,28933,10,1,6.3,r,15,3.4,screamers (1995),action|sci-fi|thriller,"",1996,01
77,tt0113973,124626,"","","","","","",1,4.0,nico icon (1995),documentary,"","",""
78,tt0112744,27526,movie,14205,10,1,6.3,r,3,3.33,crossing guard  the (1995),action|crime|drama|thriller,"",1995,11
79,tt0116731,9623,movie,19621,10,1,5.7,r,17,2.76,juror  the (1996),drama|thriller,"",1996,02
80,tt0112445,46785,movie,8075,10,1,7.6,unrated,2,4.0,white balloon  the (badkonake sefid) (1995),children|drama,"","",""
81,tt0114660,400,movie,29294,10,1,6.7,r,14,3.11,things to do in denver when you're dead (1995),crime|drama|romance,"",1995,12
82,tt0112379,880,"","","","","","",8,3.88,antonia's line (antonia) (1995),comedy|drama,"","",""
83,tt0114039,146599,movie,557,10,1,7.4,pg,1,3.0,once upon a time... when we were colored (1995),drama|romance,"",1996,01
85,tt0112365,8447,movie,4793,10,1,6.8,r,7,3.86,angels and insects (1995),drama|romance,"",1996,01
86,tt0118158,10534,movie,25011,10,1,6.6,pg-13,15,3.97,white squall (1996),action|adventure|drama,"",1996,02
87,tt0116151,17414,movie,13200,10,1,5.3,pg,7,2.5,dunston checks in (1996),children|comedy,"",1996,01
88,tt0115697,13997,movie,43022,10,1,6.2,pg-13,16,3.16,black sheep (1996),comedy,"",1996,02
89,tt0113972,2086,movie,44591,10,1,6.3,r,10,3.25,nick of time (1995),action|thriller,"",1995,11
92,tt0117002,9095,movie,15641,10,1,5.8,r,8,2.63,mary reilly (1996),drama|horror|thriller,1,1996,02
93,tt0114825,12158,movie,24764,10,1,4.6,r,9,2.83,vampire in brooklyn (1995),comedy|horror|romance,"",1995,10
94,tt0115639,9283,movie,34308,10,1,7.1,r,10,3.95,beautiful girls (1996),comedy|drama|romance,"",1996,02
95,tt0115759,9208,movie,103617,10,1,6.1,r,84,3.02,broken arrow (1996),action|adventure|thriller,"",1996,02
96,tt0113403,40154,movie,2718,10,1,7.2,r,1,3.5,in the bleak midwinter (1995),comedy|drama,1,1996,02
97,tt0113247,406,"","","","","","",10,3.9,hate (haine  la) (1995),crime|drama,"","",""
99,tt0113283,63076,movie,832,10,1,6.6,not rated,2,5.0,heidi fleiss: hollywood madam (1995),documentary,"",1996,02
100,tt0115907,11062,movie,22085,10,1,6.2,r,14,2.79,city hall (1996),drama|thriller,"",1996,02
101,tt0115734,13685,movie,82258,10,1,6.9,r,23,3.78,bottle rocket (1996),adventure|comedy|crime|romance,3,1996,02
102,tt0117102,47475,movie,5311,10,1,3.8,pg-13,5,2.4,mr. wrong (1996),comedy,"",1996,02
103,tt0118040,2045,movie,5853,10,1,6.0,r,3,3.0,unforgettable (1996),mystery|sci-fi|thriller,"",1996,02
104,tt0116483,9614,movie,241641,10,1,7.0,pg-13,99,3.44,happy gilmore (1996),comedy,3,1996,02
105,tt0112579,688,movie,86897,10,1,7.6,pg-13,23,3.28,bridges of madison county  the (1995),drama|romance,"",1995,06
106,tt0110251,11907,"","","","","","",1,4.0,nobody loves me (keiner liebt mich) (1994),comedy|drama,"","",""
107,tt0117110,10874,movie,25880,10,1,6.9,g,26,3.33,muppet treasure island (1996),adventure|children|comedy|musical,1,1996,02
108,tt0112646,89333,movie,361,10,1,7.0,"",1,4.0,catwalk (1996),documentary,"",1996,05
110,tt0112573,197,movie,1073683,10,1,8.3,r,237,4.03,braveheart (1995),action|drama|war,10,1995,05
111,tt0075314,103,movie,894001,10,1,8.2,r,104,4.11,taxi driver (1976),crime|drama|thriller,1,1976,02
112,tt0113326,33542,movie,45223,10,1,6.7,r,46,3.54,rumble in the bronx (hont faan kui) (1995),action|adventure|comedy|crime,"",1996,02
113,tt0115645,43566,"","","","","","",3,3.33,before and after (1996),drama|mystery,"","",""
116,tt0112373,51352,"","","","","","",5,3.9,anne frank remembered (1995),documentary,1,"",""
117,tt0115033,16934,"","","","","","",1,3.0,young poisoner's handbook  the (1995),crime|drama,"","",""
118,tt0116606,10324,movie,4279,10,1,4.9,r,2,2.5,if lucy fell (1996),comedy|romance,"",1996,03
119,tt0114536,78406,movie,1071,10,1,4.7,pg-13,2,3.0,steal big  steal little (1995),comedy,"",1995,09
121,tt0106473,32119,movie,1912,10,1,7.5,"",2,4.0,boys of st. vincent  the (1992),drama,"",1992,12
122,tt0103859,11066,movie,30854,10,1,5.6,r,16,2.66,boomerang (1992),comedy|romance,1,1992,07
123,tt0109424,11104,movie,91848,10,1,8.0,pg-13,4,4.38,chungking express (chung hing sam lam) (1994),drama|mystery|romance,"",1996,03
125,tt0116324,2074,"","","","","","",12,3.58,flirting with disaster (1996),comedy,"","",""
126,tt0110647,27793,movie,12259,10,1,3.2,g,7,2.0,neverending story iii  the (1994),adventure|children|fantasy,"",1996,02
128,tt0110217,290157,movie,249,10,1,7.1,not rated,1,3.0,jupiter's wife (1994),documentary,"",1995,09
129,tt0114131,110972,"","","","","","",1,2.0,pie in the sky (1996),comedy|romance,"","",""
132,tt0113451,11863,"","","","","","",6,2.83,jade (1995),thriller,"","",""
135,tt0116130,9101,movie,26218,10,1,6.1,pg-13,31,2.95,down periscope (1996),comedy,"",1996,03
137,tt0113756,5757,movie,344,10,1,5.9,"",1,3.0,man of the year (1995),documentary,"",1996,03
140,tt0118055,9302,movie,15149,10,1,6.1,pg-13,16,3.5,up close and personal (1996),drama|romance,1,1996,03
141,tt0115685,11000,movie,97450,10,1,7.2,r,86,3.49,birdcage  the (1996),comedy,"",1996,03
144,tt0112585,16388,movie,8118,10,1,6.6,r,12,3.33,brothers mcmullen  the (1995),comedy,"",1995,08
145,tt0112442,9737,movie,280378,10,1,6.8,r,51,3.25,bad boys (1995),action|comedy|crime|drama|thriller,"",1995,04
146,tt0112342,30765,movie,4351,10,1,5.7,pg,3,3.33,amazing panda adventure  the (1995),adventure|children,"",1995,08
147,tt0112461,10474,movie,118458,10,1,7.3,r,15,3.47,basketball diaries  the (1995),drama,4,1995,04
148,tt0112427,22279,movie,2964,10,1,5.8,r,1,5.0,awfully big adventure  an (1995),drama,"",1995,07
149,tt0109093,30157,movie,6906,10,1,6.8,r,1,2.0,amateur (1994),crime|drama|thriller,"",1995,05
150,tt0112384,568,movie,308944,10,1,7.7,pg,201,3.85,apollo 13 (1995),adventure|drama|imax,3,1995,06
151,tt0114287,11780,movie,44855,10,1,6.9,r,44,3.55,rob roy (1995),action|drama|romance|war,"",1995,04
152,tt0112288,34996,movie,11205,10,1,6.4,not rated,2,1.5,addiction  the (1995),drama|horror,"",1995,10
153,tt0112462,414,movie,263160,10,1,5.4,pg-13,137,2.92,batman forever (1995),action|adventure|comedy|crime,2,1995,06
154,tt0061395,649,movie,47771,10,1,7.7,r,12,3.88,beauty of the day (belle de jour) (1967),drama,"",1968,04
155,tt0112495,1873,movie,5402,10,1,6.5,r,6,2.42,beyond rangoon (1995),adventure|drama|war,"",1995,08
156,tt0112541,5894,movie,9978,10,1,6.6,r,3,3.33,blue in the face (1995),comedy|drama,"",1995,10
157,tt0109370,1775,movie,17744,10,1,5.9,pg,11,2.86,canadian bacon (1995),comedy|war,"",1995,09
158,tt0112642,8839,movie,144734,10,1,6.2,pg,62,2.81,casper (1995),adventure|children,"",1995,05
159,tt0112688,20649,movie,23199,10,1,6.9,r,14,2.89,clockers (1995),crime|drama|mystery,"",1995,09
160,tt0112715,10329,movie,47952,10,1,5.3,pg-13,57,2.88,congo (1995),action|adventure|mystery|sci-fi,1,1995,06
161,tt0112740,8963,"","","","","","",103,3.64,crimson tide (1995),drama|thriller|war,1,"",""
162,tt0109508,26564,"","","","","","",17,4.21,crumb (1994),documentary,1,"",""
163,tt0112851,8068,movie,194332,10,1,7.1,r,66,3.56,desperado (1995),action|romance|western,"",1995,08
164,tt0112857,8512,movie,22870,10,1,6.8,r,14,3.32,devil in a blue dress (1995),crime|film-noir|mystery|thriller,"",1995,09
165,tt0112864,1572,movie,401194,10,1,7.6,r,144,3.56,die hard: with a vengeance (1995),action|crime|thriller,"",1995,05
166,tt0112887,13552,movie,17449,10,1,6.1,r,3,2.83,doom generation  the (1995),comedy|crime|drama,"",1995,10
168,tt0113071,6520,movie,77244,10,1,6.0,pg-13,54,3.08,first knight (1995),action|drama|romance,"",1995,07
169,tt0113114,9073,movie,19305,10,1,5.1,pg,10,2.4,free willy 2: the adventure home (1995),adventure|children|drama,"",1995,07
170,tt0113243,10428,"","","","","","",35,3.23,hackers (1995),action|adventure|crime|thriller,"","",""
171,tt0113464,17447,movie,6645,10,1,6.8,r,6,3.83,jeffrey (1995),comedy|drama,"",1995,08
172,tt0113481,9886,"","","","","","",53,2.68,johnny mnemonic (1995),action|sci-fi|thriller,"","",""
173,tt0113492,9482,movie,123129,10,1,5.6,r,62,2.67,judge dredd (1995),action|crime|sci-fi,"",1995,06
174,tt0113500,19326,movie,8611,10,1,4.3,pg-13,10,2.7,jury duty (1995),comedy,"",1995,04
175,tt0113540,9344,"","","","","","",20,3.98,kids (1995),drama,3,"",""
176,tt0113677,9071,"","","","","","",13,4.31,living in oblivion (1995),comedy,"","",""
177,tt0113690,8973,movie,18921,10,1,6.0,r,8,2.75,lord of illusions (1995),horror,"",1995,08
178,tt0107447,15730,movie,2799,10,1,6.6,r,1,1.0,love & human remains (1993),comedy|drama,"",1995,06
179,tt0113729,47608,movie,6895,10,1,5.3,pg-13,2,1.5,mad love (1995),drama|romance,"",1995,05
180,tt0113749,2293,movie,127305,10,1,7.0,r,36,3.4,mallrats (1995),comedy|romance,"",1995,10
181,tt0113820,9070,movie,29549,10,1,5.2,pg,17,2.26,mighty morphin power rangers: the movie (1995),action|children,"",1995,06
183,tt0110604,48787,movie,6118,10,1,6.7,r,2,3.5,mute witness (1994),comedy|horror|thriller,"",1995,09
184,tt0110620,34574,"","","","","","",2,3.5,nadja (1994),drama,"","",""
185,tt0113957,1642,movie,72486,10,1,6.0,pg-13,112,3.04,net  the (1995),action|crime|thriller,1,1995,07
186,tt0113986,11472,movie,38158,10,1,5.5,pg-13,48,2.82,nine months (1995),comedy|romance,"",1995,07
187,tt0114095,36196,movie,6175,10,1,6.5,r,4,4.13,party girl (1995),comedy,"",1995,06
188,tt0114194,11980,movie,32707,10,1,6.4,r,12,3.46,prophecy  the (1995),fantasy|horror|mystery,"",1995,09
189,tt0114241,58372,movie,504,10,1,5.1,pg-13,1,3.0,reckless (1995),comedy|fantasy,"",1995,11
190,tt0114323,32646,movie,16489,10,1,7.1,r,5,2.8,safe (1995),thriller,"",1995,06
191,tt0114345,10533,movie,16067,10,1,5.3,r,6,2.42,scarlet letter  the (1995),drama|romance,"",1995,10
193,tt0114436,10802,movie,72679,10,1,5.0,nc-17,35,2.47,showgirls (1995),drama,"",1995,09
194,tt0114478,10149,movie,37680,10,1,7.4,r,18,3.67,smoke (1995),comedy|drama,"",1995,06
195,tt0114496,18402,"","","","","","",10,3.1,something to talk about (1995),comedy|drama|romance,"","",""
196,tt0114508,9348,movie,83930,10,1,5.9,r,45,2.67,species (1995),horror|sci-fi,"",1995,07
198,tt0114558,281,"","","","","","",28,3.25,strange days (1995),action|crime|drama|mystery|sci-fi|thriller,"","",""
199,tt0058450,5967,movie,30313,10,1,7.8,not rated,4,4.13,umbrellas of cherbourg  the (parapluies de cherbourg  les) (1964),drama|musical|romance,1,1964,12
201,tt0114663,47939,movie,3214,10,1,6.1,pg,1,3.0,three wishes (1995),drama|fantasy,"",1995,10
202,tt0114702,36834,movie,16510,10,1,6.5,r,1,3.0,total eclipse (1995),drama|romance,"",1995,11
203,tt0114682,9090,movie,35505,10,1,6.7,pg-13,22,3.43,to wong foo  thanks for everything! julie newmar (1995),comedy,"",1995,09
204,tt0114781,3512,movie,49322,10,1,5.5,r,30,2.72,under siege 2: dark territory (1995),action,"",1995,07
205,tt0114798,52856,movie,3246,10,1,6.7,pg,9,3.17,unstrung heroes (1995),comedy|drama,"",1995,09
206,tt0114805,77350,movie,1179,10,1,6.4,r,2,3.0,unzipped (1995),documentary,"",1995,08
207,tt0114887,9560,movie,35977,10,1,6.7,pg-13,21,3.43,walk in the clouds  a (1995),drama|romance,"",1995,08
208,tt0114898,9804,"","","","","","",115,2.91,waterworld (1995),action|adventure|sci-fi,"","",""
209,tt0114928,31611,movie,5131,10,1,5.3,r,3,3.17,white man's burden (1995),drama,"",1995,12
210,tt0114938,65796,movie,7652,10,1,5.8,r,4,3.0,wild bill (1995),western,"",1995,12
211,tt0109340,49805,"","","","","","",2,3.5,browning version  the (1994),drama,"","",""
212,tt0112602,26258,movie,6749,10,1,5.6,pg-13,3,3.0,bushwhacked (1995),adventure|comedy|crime|mystery,"",1995,08
213,tt0111579,50797,movie,16079,10,1,7.8,r,6,3.83,burnt by the sun (utomlyonnye solntsem) (1994),drama,"",1995,04
214,tt0110882,19155,movie,15636,10,1,7.9,not rated,2,4.0,before the rain (pred dozhdot) (1994),drama|war,"",1995,02
215,tt0112471,76,movie,330312,10,1,8.1,r,24,4.04,before sunrise (1995),drama|romance,1,1995,01
216,tt0112508,11017,movie,153369,10,1,6.3,pg-13,49,3.33,billy madison (1995),comedy,3,1995,02
217,tt0112438,37141,movie,5902,10,1,4.3,r,6,2.33,babysitter  the (1995),drama|thriller,"",1995,10
218,tt0112571,9382,movie,13879,10,1,6.5,r,14,3.43,boys on the side (1995),comedy|drama,"",1995,02
219,tt0112757,6715,movie,10469,10,1,7.7,pg-13,1,3.0,cure  the (1995),drama,"",1995,04
220,tt0112643,18256,movie,10007,10,1,5.9,r,1,3.0,castle freak (1995),horror,"",1995,11
222,tt0112679,22625,movie,9086,10,1,6.6,pg-13,16,3.75,circle of friends (1995),drama|romance,1,1995,03
223,tt0109445,2292,"","","","","","",104,3.86,clerks (1994),comedy,6,"",""
224,tt0112883,1909,movie,52707,10,1,6.7,pg-13,40,3.61,don juan demarco (1995),comedy|drama|romance,2,1995,04
225,tt0109635,8984,movie,53431,10,1,6.2,r,52,3.54,disclosure (1994),drama|thriller,"",1994,12
227,tt0109676,4954,"","","","","","",22,2.86,drop zone (1994),action|thriller,"","",""
228,tt0112854,62488,"","","","","","",3,2.33,destiny turns on the radio (1995),comedy,"","",""
229,tt0109579,10531,movie,26272,10,1,7.2,r,7,3.43,death and the maiden (1994),drama|thriller,"",1995,01
230,tt0109642,11929,movie,47263,10,1,7.4,r,24,3.4,dolores claiborne (1995),drama|thriller,1,1995,03
231,tt0109686,8467,movie,403621,10,1,7.3,pg-13,133,3.06,dumb & dumber (dumb and dumber) (1994),adventure|comedy,"",1994,12
232,tt0111797,10451,movie,22682,10,1,7.8,not rated,14,3.89,eat drink man woman (yin shi nan nu) (1994),comedy|drama|romance,1,1994,08
233,tt0109759,20156,"","","","","","",12,3.5,exotica (1994),drama,"","",""
234,tt0109758,18395,movie,7228,10,1,4.2,r,17,2.59,exit to eden (1994),comedy,"",1994,10
235,tt0109707,522,movie,181960,10,1,7.8,r,70,3.68,ed wood (1994),comedy|drama,1,1994,10
236,tt0113117,397,movie,52193,10,1,6.6,pg-13,45,3.48,french kiss (1995),action|comedy|romance,"",1995,05
237,tt0113097,10525,movie,12886,10,1,6.5,pg-13,22,3.34,forget paris (1995),comedy|romance,3,1995,05
238,tt0113028,27985,movie,3212,10,1,6.3,pg,2,4.0,far from home: the adventures of yellow dog (1995),adventure|children,"",1995,01
239,tt0113198,15789,movie,60851,10,1,6.9,g,17,3.0,goofy movie  a (1995),animation|children|comedy|romance,"",1995,04
240,tt0113303,27303,movie,7290,10,1,5.3,r,4,2.38,hideaway (1995),thriller,"",1995,03
241,tt0113089,21183,"","","","","","",1,4.0,fluke (1995),children|drama,"","",""
242,tt0109771,10954,movie,7166,10,1,6.8,r,5,3.6,farinelli: il castrato (1994),drama|musical,"",1995,03
243,tt0113199,47867,movie,2055,10,1,3.8,g,1,3.0,gordy (1995),children|comedy|fantasy,"",1995,05
246,tt0110057,14275,movie,27575,10,1,8.3,pg-13,29,4.29,hoop dreams (1994),documentary,1,1994,10
247,tt0110005,1024,movie,66553,10,1,7.3,r,21,3.93,heavenly creatures (1994),crime|drama,1,1994,10
248,tt0110066,17207,"","","","","","",17,3.18,houseguest (1994),comedy,2,"",""
249,tt0110116,13701,movie,25864,10,1,7.4,r,18,3.72,immortal beloved (1994),drama|romance,1,1995,01
250,tt0110006,14819,movie,30006,10,1,6.6,pg,6,2.5,heavyweights (heavy weights) (1995),children|comedy,"",1995,02
251,tt0113360,32631,movie,5597,10,1,5.9,r,3,3.0,hunted  the (1995),action,"",1995,02
252,tt0110099,11777,movie,26366,10,1,6.2,pg,43,3.45,i.q. (1994),comedy|romance,1,1994,12
253,tt0110148,628,movie,340958,10,1,7.5,r,109,3.46,interview with the vampire: the vampire chronicles (1994),drama|horror,"",1994,11
254,tt0113463,87729,movie,3157,10,1,5.7,pg-13,1,3.0,jefferson in paris (1995),drama,"",1995,03
255,tt0110189,18713,"","","","","","",7,2.07,jerky boys  the (1995),comedy,"","",""
256,tt0110216,6280,movie,71922,10,1,4.7,pg-13,35,2.83,junior (1994),comedy|sci-fi,"",1994,11
257,tt0113501,9061,movie,28962,10,1,6.4,r,14,3.5,just cause (1995),mystery|thriller,1,1995,02
258,tt0113538,37108,movie,6629,10,1,4.7,pg,10,2.6,kid in king arthur's court  a (1995),adventure|children|comedy|fantasy|romance,"",1995,08
259,tt0113552,6071,movie,19978,10,1,5.9,r,5,3.2,kiss of death (1995),crime|drama|thriller,"",1995,04
260,tt0076759,11,"","","","","","",251,4.23,star wars: episode iv - a new hope (1977),action|adventure|sci-fi,26,"",""
261,tt0110367,9587,movie,62088,10,1,7.3,pg,42,3.88,little women (1994),drama,1,1994,12
262,tt0113670,19101,movie,36095,10,1,7.6,g,21,3.9,little princess  a (1995),children|drama,3,1995,05
263,tt0110296,49980,"","","","","","",1,4.0,ladybird ladybird (1994),drama,"","",""
265,tt0103994,18183,movie,18594,10,1,7.1,r,33,3.94,like water for chocolate (como agua para chocolate) (1992),drama|fantasy|romance,"",1993,05
266,tt0110322,4476,movie,178206,10,1,7.5,r,68,3.4,legends of the fall (1994),drama|romance|war|western,"",1995,01
267,tt0110443,11008,"","","","","","",17,2.94,major payne (1995),comedy,"","",""
269,tt0107566,32325,movie,2363,10,1,6.5,r,2,3.0,my crazy life (mi vida loca) (1993),drama,"",1994,07
270,tt0110391,43742,movie,5006,10,1,6.0,pg-13,5,3.4,love affair (1994),drama|romance,"",1994,10
271,tt0113691,28313,movie,6430,10,1,6.4,r,4,3.5,losing isaiah (1995),drama,"",1995,03
272,tt0110428,11318,movie,17858,10,1,7.2,pg-13,31,3.76,madness of king george  the (1994),comedy|drama,2,1994,12
273,tt0109836,3036,movie,58390,10,1,6.3,r,28,2.95,mary shelley's frankenstein (frankenstein) (1994),drama|horror|sci-fi,1,1994,11
274,tt0113755,40490,movie,10229,10,1,5.2,pg,7,2.93,man of the house (1995),comedy,"",1995,03
275,tt0110538,24070,movie,12783,10,1,5.4,pg-13,6,2.0,mixed nuts (1994),comedy,"",1994,12
276,tt0110516,8986,movie,12850,10,1,5.6,pg-13,22,3.25,milk money (1994),comedy|romance,"",1994,08
277,tt0110527,10510,movie,40940,10,1,6.6,pg,38,3.22,miracle on 34th street (1994),drama,1,1994,11
278,tt0113808,17402,movie,3489,10,1,5.4,pg-13,2,1.5,miami rhapsody (1995),comedy,"",1995,01
279,tt0113896,38722,movie,4409,10,1,7.3,r,2,3.0,my family (1995),drama,1,1995,05
280,tt0113870,8438,movie,30047,10,1,7.3,r,13,4.08,murder in the first (1995),drama|thriller,1,1995,01
281,tt0110684,11593,"","","","","","",14,3.79,nobody's fool (1994),comedy|drama|romance,"","",""
