title,studio,lifetime_gross,movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,smallLensTagCount,releaseYear,releaseMonth,nconst,tconst,titleType,primaryTitle,originalTitle,numVotes,directors,writers,category,primaryName,startYear,runtimeMinutes,averageRating,isAdult
"Yours, Mine and Ours",Par.,53412862,26198,tt0063829,27983,movie,9607,10,1,7.1,unrated,2,2.75,yours  mine and ours (1968),children|comedy,"",1968,4,nm0000840,tt0063829,movie,"Yours, Mine and Ours","Yours, Mine and Ours",9594,nm0789520,"nm0789520,nm0480048,nm0205070,nm0140717,nm0063983",actress,Lucille Ball,1968,111,7,0
Benji,Mul.,39552000,3672,tt0071206,23069,movie,5090,10,1,6.1,g,5,3.8,benji (1974),adventure|children,"",1974,5,nm0106539,tt0071206,movie,Benji,Benji,5084,nm0131995,nm0131995,actor,Peter Breck,1974,86,6,0
Network,MGM,23689877,3504,tt0074958,10774,movie,166734,10,1,8.1,r,22,4.02,network (1976),comedy|drama,1,1976,11,nm0001159,tt0074958,movie,Network,Network,166514,nm0001486,nm0154665,actress,Faye Dunaway,1976,121,8,0
Close Encounters of the Third Kind,Col.,135189114,3471,tt0075860,840,movie,212594,10,1,7.6,pg,60,3.74,close encounters of the third kind (1977),adventure|drama|sci-fi,"",1977,12,nm0000377,tt0075860,movie,Close Encounters of the Third Kind,Close Encounters of the Third Kind,212345,nm0000229,"nm0000229,nm0059493,nm0069547,nm0384398,nm0730422",actor,Richard Dreyfuss,1977,138,7,0
The Black Hole,Dis.,35841901,2034,tt0078869,9570,"","","","","","",9,2.61,black hole  the (1979),children|sci-fi,"","","",nm0001703,tt0078869,movie,The Black Hole,The Black Hole,27299,nm0625379,"nm0741775,nm0053267,nm0484479,nm0206409",actor,Maximilian Schell,1979,98,5,0
Going in Style,WB,26869286,7414,tt0079219,65066,"","","","","","",1,2.5,going in style (1979),comedy|drama,"","","",nm0122675,tt0079219,movie,Going in Style,Going in Style,3726,nm0000976,"nm0000976,nm0134191",actor,George Burns,1979,97,7,0
The Jerk,Uni.,73691419,2109,tt0079367,6471,movie,62805,10,1,7.1,r,27,3.37,jerk  the (1979),comedy,"",1979,12,nm0000188,tt0079367,movie,The Jerk,The Jerk,62697,nm0005348,"nm0000188,nm0331956,nm0253498",actor,Steve Martin,1979,94,7,0
The Fiendish Plot of Dr. Fu Manchu,WB,10697276,2286,tt0080731,3486,movie,2345,10,1,4.9,pg,1,2.0,fiendish plot of dr. fu manchu  the (1980),comedy,"",1980,8,nm0000634,tt0080731,movie,The Fiendish Plot of Dr. Fu Manchu,The Fiendish Plot of Dr. Fu Manchu,2343,"nm0353592,nm0703689,nm0000634","nm0229984,nm0597225,nm0737544,nm0000634",actor,Peter Sellers,1980,100,4,0
The Octagon,AmCi,18971000,5212,tt0081259,24825,movie,6034,10,1,5.0,r,1,3.0,octagon  the (1980),action,"",1980,8,nm0001569,tt0081259,movie,The Octagon,The Octagon,6026,nm0440171,"nm0152443,nm0007477",actor,Chuck Norris,1980,103,5,0
Ordinary People,Par.,54766923,1956,tt0081283,16619,movie,55449,10,1,7.7,r,12,4.0,ordinary people (1980),drama,"",1980,9,nm0000661,tt0081283,movie,Ordinary People,Ordinary People,55348,nm0000602,"nm0346407,nm0765091,nm0235683",actor,Donald Sutherland,1980,124,7,0
The Stunt Man,Fox,7063886,4956,tt0081568,42160,movie,10238,10,1,7.0,r,3,4.5,stunt man  the (1980),action|adventure|comedy|drama|romance|thriller,"",1980,6,nm0000564,tt0081568,movie,The Stunt Man,The Stunt Man,10222,nm0750701,"nm0546140,nm0750701,nm0110871",actor,Peter O'Toole,1980,131,7,0
An American Werewolf in London,Uni.,30565292,1321,tt0082010,814,movie,117453,10,1,7.5,r,23,3.41,american werewolf in london  an (1981),comedy|horror|thriller,"",1981,8,nm0622544,tt0082010,movie,An American Werewolf in London,An American Werewolf in London,117028,nm0000484,nm0000484,actor,David Naughton,1981,97,7,0
Chariots of Fire,Col.,58972904,1957,tt0082158,9443,movie,64589,10,1,7.1,pg,13,4.04,chariots of fire (1981),drama,2,1982,4,nm0002027,tt0082158,movie,Chariots of Fire,Chariots of Fire,64505,nm0399853,nm0919815,actor,Ben Cross,1981,125,7,0
Death Wish II,Film,16100000,3431,tt0082250,14373,movie,17490,10,1,6.0,r,3,1.67,death wish 2 (1982),action|drama,"",1982,2,nm0000314,tt0082250,movie,Death Wish II,Death Wish II,17445,nm0935382,"nm0257168,nm0307257,nm0935382",actor,Charles Bronson,1982,89,6,0
The Four Seasons,Uni.,50427646,5745,tt0082405,25113,movie,5350,10,1,6.8,pg,1,5.0,four seasons  the (1981),comedy|drama,"",1981,5,nm0000257,tt0082405,movie,The Four Seasons,The Four Seasons,5341,nm0000257,nm0000257,actor,Alan Alda,1981,107,6,0
Cat People,Uni.,7000000,1346,tt0083722,6217,"","","","","","",8,2.81,cat people (1982),drama|fantasy|horror,"","","",nm0000176,tt0083722,movie,Cat People,Cat People,23367,nm0001707,"nm0090840,nm0650276,nm0001707",actress,Nastassja Kinski,1982,118,6,0
An Officer and a Gentleman,Par.,129795554,4041,tt0084434,2623,movie,60712,10,1,7.0,r,14,3.64,officer and a gentleman  an (1982),drama|romance,"",1982,8,nm0000152,tt0084434,movie,An Officer and a Gentleman,An Officer and a Gentleman,60551,nm0000431,nm0829343,actor,Richard Gere,1982,124,7,0
Victor/Victoria,MGM,28215453,1081,tt0084865,12614,movie,23166,10,1,7.6,pg,12,3.54,victor/victoria (1982),comedy|musical|romance,1,1982,3,nm0000267,tt0084865,movie,Victor/Victoria,Victor/Victoria,23133,nm0001175,"nm0001175,nm0388502,nm0778306",actress,Julie Andrews,1982,134,7,0
Young Doctors in Love,Fox,30688860,2255,tt0084938,47947,"","","","","","",2,1.5,young doctors in love (1982),comedy,"","","",nm0571106,tt0084938,movie,Young Doctors in Love,Young Doctors in Love,3402,nm0005190,"nm0253498,nm0262414",actor,Michael McKean,1982,96,5,0
Krull,Col.,16916617,4275,tt0085811,849,movie,35548,10,1,6.1,pg,5,2.9,krull (1983),action|adventure|fantasy|sci-fi,"",1983,7,nm0550989,tt0085811,movie,Krull,Krull,35503,nm0946811,nm0792589,actor,Ken Marshall,1983,116,6,0
The Year of Living Dangerously,WB,10278575,2919,tt0086617,11541,"","","","","","",8,3.81,year of living dangerously  the (1982),drama|romance|war,3,"","",nm0000154,tt0086617,movie,The Year of Living Dangerously,The Year of Living Dangerously,22477,nm0001837,"nm0932011,nm0001837,nm0462272,nm0788991",actor,Mel Gibson,1982,115,7,0
Beverly Hills Cop,Par.,234760478,4085,tt0086960,90,movie,195650,10,1,7.4,r,46,3.4,beverly hills cop (1984),action|comedy|crime|drama,"",1984,12,nm0000552,tt0086960,movie,Beverly Hills Cop,Beverly Hills Cop,195359,nm0000976,"nm0677943,nm0045301",actor,Eddie Murphy,1984,105,7,0
Places in the Heart,TriS,34901614,3111,tt0087921,13681,movie,12936,10,1,7.4,pg,4,4.25,places in the heart (1984),drama,1,1984,10,nm0000398,tt0087921,movie,Places in the Heart,Places in the Heart,12925,nm0000914,nm0000914,actress,Sally Field,1984,111,7,0
Brazil,Uni.,9929135,1199,tt0088846,68,movie,208266,10,1,7.9,r,59,4.18,brazil (1985),fantasy|sci-fi,"",1985,12,nm0000596,tt0088846,movie,Brazil,Brazil,208050,nm0000416,"nm0000416,nm0001779,nm0571650,nm0023395",actor,Jonathan Pryce,1985,132,7,0
Cat's Eye,MGM,13086298,2787,tt0088889,10552,movie,27601,10,1,6.3,pg-13,6,2.42,cat's eye (1985),horror,1,1985,4,nm0000106,tt0088889,movie,Cat's Eye,Cat's Eye,27527,nm0853546,nm0000175,actress,Drew Barrymore,1985,94,6,0
Death Wish 3,Can.,16116878,3432,tt0089003,24873,"","","","","","",2,1.5,death wish 3 (1985),action|drama,"","","",nm0000314,tt0089003,movie,Death Wish 3,Death Wish 3,16743,nm0935382,"nm0415979,nm0307257",actor,Charles Bronson,1985,90,5,0
The Journey of Natty Gann,BV,9708373,2077,tt0089385,35144,movie,6665,10,1,7.0,pg,5,3.4,journey of natty gann  the (1985),adventure|children,"",1985,9,nm0001694,tt0089385,movie,The Journey of Natty Gann,The Journey of Natty Gann,6650,nm0434571,nm0742236,actress,Meredith Salenger,1985,101,7,0
King Solomon's Mines,Can.,15057465,7308,tt0089421,9838,movie,14612,10,1,5.2,pg-13,1,2.5,king solomon's mines (1985),adventure|comedy,"",1985,11,nm0000328,tt0089421,movie,King Solomon's Mines,King Solomon's Mines,14587,nm0496746,"nm0353584,nm0704164,nm0798033",actor,Richard Chamberlain,1985,100,5,0
Legend,Uni.,1872994,2143,tt0089469,11976,"","","","","","",13,3.08,legend (1985),adventure|fantasy|romance,"","","",nm0000129,tt0089469,movie,Legend,Legend,70572,nm0000631,nm0387132,actor,Tom Cruise,1985,94,6,0
Legend,Uni.,15502112,2143,tt0089469,11976,"","","","","","",13,3.08,legend (1985),adventure|fantasy|romance,"","","",nm0000129,tt0089469,movie,Legend,Legend,70572,nm0000631,nm0387132,actor,Tom Cruise,1985,94,6,0
Lost in America,WB,10179000,4276,tt0089504,27223,"","","","","","",2,2.5,lost in america (1985),comedy,"","","",nm0000983,tt0089504,movie,Lost in America,Lost in America,9575,nm0000983,"nm0000983,nm0569606",actor,Albert Brooks,1985,91,7,0
Mischief,Fox,8692426,33188,tt0089601,14750,movie,6850,10,1,6.5,r,1,2.5,mischief (1985),comedy|romance,"",1985,2,nm0571630,tt0089601,movie,Mischief,Mischief,6833,nm0198991,nm0085457,actor,Doug McKeon,1985,100,6,0
Smooth Talk,Spec.,16785,31038,tt0090037,33766,movie,3239,10,1,6.5,pg-13,1,4.0,smooth talk (1985),drama|romance,"",1985,11,nm0001852,tt0090037,movie,Smooth Talk,Smooth Talk,3230,nm0159154,"nm0643093,nm0170822",actor,Treat Williams,1985,92,6,0
To Live and Die in L.A.,MGM,17307019,7040,tt0090180,9846,"","","","","","",1,2.5,to live and die in l.a. (1985),action|crime|drama|thriller,"","","",nm0676973,tt0090180,movie,To Live and Die in L.A.,To Live and Die in L.A.,37863,nm0001243,"nm0677514,nm0001243",actor,William Petersen,1985,116,7,0
Three Men and a Cradle,Gold.,2052466,77688,tt0090206,4180,"","","","","","",1,4.5,three men and a cradle (3 hommes et un couffin) (1985),comedy,"","","",nm0320801,tt0090206,movie,Three Men and a Cradle,3 hommes et un couffin,3848,nm0785684,nm0785684,actor,Roland Giraud,1985,106,6,0
Turtle Diary,Gold.,2156772,3402,tt0090219,123047,movie,817,10,1,6.8,pg,2,4.0,turtle diary (1985),comedy|drama|romance,"",1986,2,nm0413559,tt0090219,movie,Turtle Diary,Turtle Diary,816,nm0410139,"nm0387539,nm0056217",actress,Glenda Jackson,1985,97,6,0
84 Charing Cross Road,Col.,1083486,5404,tt0090570,15677,movie,10889,10,1,7.4,pg,3,4.5,84 charing cross road (1987),drama|romance,1,1987,2,nm0000843,tt0090570,movie,84 Charing Cross Road,84 Charing Cross Road,10869,nm0427880,"nm0359815,nm0740464,nm0925849",actress,Anne Bancroft,1987,100,7,0
April Fool's Day,Par.,12947763,1330,tt0090655,24913,movie,17963,10,1,6.1,r,4,1.5,april fool's day (1986),horror,"",1986,3,nm0286033,tt0090655,movie,April Fool's Day,April Fool's Day,17942,nm0910510,nm0045301,actress,Deborah Foreman,1986,89,6,0
Cobra,WB,49042224,6800,tt0090859,9874,movie,78145,10,1,5.8,r,3,2.33,cobra (1986),action|crime,"",1986,5,nm0000230,tt0090859,movie,Cobra,Cobra,78014,nm0181902,"nm0331514,nm0000230",actor,Sylvester Stallone,1986,87,5,0
Extremities,Atl,13418091,2419,tt0091024,44326,movie,4183,10,1,6.3,r,2,3.75,extremities (1986),drama|thriller,"",1986,8,nm0000396,tt0091024,movie,Extremities,Extremities,4178,nm0950001,nm0557895,actress,Farrah Fawcett,1986,89,6,0
Night of the Creeps,TriS,591366,3696,tt0091630,15762,movie,25537,10,1,6.7,r,3,3.17,night of the creeps (1986),comedy|horror|sci-fi|thriller,"",1986,8,nm0515128,tt0091630,movie,Night of the Creeps,Night of the Creeps,25475,nm0215269,nm0215269,actor,Jason Lively,1986,88,6,0
Crocodile Dundee II,Par.,109306210,2471,tt0092493,9396,movie,59942,10,1,5.7,pg,24,2.48,crocodile dundee ii (1988),action|adventure|comedy,1,1988,5,nm0001357,tt0092493,movie,Crocodile Dundee II,Crocodile Dundee II,59873,nm0180257,"nm0001357,nm0389495",actor,Paul Hogan,1988,108,5,0
Cop,Atl,1984315,4093,tt0092783,31701,movie,5960,10,1,6.4,r,1,1.5,cop (1988),thriller,"",1988,3,nm0000249,tt0092783,movie,Cop,Cop,5947,nm0364805,"nm0255278,nm0364805",actor,James Woods,1988,110,6,0
Drowning by Numbers,Mira.,424773,4500,tt0092929,27362,movie,10713,10,1,7.2,r,1,4.0,drowning by numbers (1988),comedy|drama,"","","",nm0384060,tt0092929,movie,Drowning by Numbers,Drowning by Numbers,10693,nm0000425,nm0000425,actor,Bernard Hill,1988,118,7,0
Ernest Goes to Camp,BV,23509382,4104,tt0092974,18935,movie,12274,10,1,5.5,pg,5,1.4,ernest goes to camp (1987),comedy,"",1987,5,nm0001815,tt0092974,movie,Ernest Goes to Camp,Ernest Goes to Camp,12257,nm0156047,"nm0156047,nm0760244,nm0676133,nm0495299",actor,Jim Varney,1987,92,5,0
Matewan,Cinc,1680358,3090,tt0093509,24276,movie,8677,10,1,7.9,pg-13,6,4.17,matewan (1987),drama,"",1987,8,nm0177933,tt0093509,movie,Matewan,Matewan,8666,nm0000626,nm0000626,actor,Chris Cooper,1987,135,7,0
Near Dark,DEG,3369307,3727,tt0093605,11879,movie,43712,10,1,6.9,r,8,4.31,near dark (1987),horror|western,"",1988,1,nm0664499,tt0093605,movie,Near Dark,Near Dark,43639,nm0000941,"nm0714599,nm0000941",actor,Adrian Pasdar,1987,94,6,0
Who's That Girl,WB,7305209,3391,tt0094321,26827,movie,10871,10,1,4.8,pg,2,2.5,who's that girl? (1987),comedy,"",1987,8,nm0000187,tt0094321,movie,Who's That Girl,Who's That Girl,10857,nm0001226,"nm0807308,nm0277946",actress,Madonna,1987,92,4,0
1969,Atl,5979011,4463,tt0094594,47817,movie,3940,10,1,5.7,r,1,2.0,1969 (1988),drama|war,"",1988,11,nm0000375,tt0094594,movie,1969,1969,3935,nm0860125,nm0860125,actor,Robert Downey Jr.,1988,95,5,0
The Blob,TriS,8247943,4480,tt0094761,9599,movie,42034,10,1,6.6,r,3,2.83,blob  the (1988),horror|sci-fi,"",1988,8,nm0809938,tt0094761,movie,The Blob,The Blob,41878,nm0751080,"nm0800796,nm0510989,nm0589614,nm0751080,nm0001104",actress,Shawnee Smith,1988,95,6,0
Camille Claudel,OrionC,3331297,4484,tt0094828,110428,movie,7188,10,1,7.2,r,2,3.75,camille claudel (1988),drama,"",1989,12,nm0000254,tt0094828,movie,Camille Claudel,Camille Claudel,7177,nm0005814,"nm0661613,nm0005814,nm0325665,nm4197453",actress,Isabelle Adjani,1988,175,7,0
Chocolat,Mira.,71509363,4703,tt0094868,41951,movie,4233,10,1,7.3,pg-13,4,3.38,chocolat (1988),drama,"","","",nm0207218,tt0094868,movie,Chocolat,Chocolat,4217,nm0219136,"nm0219136,nm0267288",actor,Isaach De Bankolé,1988,105,7,0
Coming to America,Par.,128152301,4489,tt0094898,9602,movie,219049,10,1,7.1,r,24,3.46,coming to america (1988),comedy|romance,2,1988,6,nm0000552,tt0094898,movie,Coming to America,Coming to America,218737,nm0000484,"nm0000552,nm0790775,nm0087904",actor,Eddie Murphy,1988,117,7,0
A Cry in the Dark,WB,6908797,3211,tt0094924,35119,"","","","","","",2,3.75,cry in the dark  a (1988),drama,2,"","",nm0000658,tt0094924,movie,A Cry in the Dark,Evil Angels,11019,nm0770961,"nm2021511,nm0145781,nm0770961",actress,Meryl Streep,1988,120,6,0
Dirty Rotten Scoundrels,Orion,42039085,4499,tt0095031,10141,movie,76392,10,1,7.4,pg,16,4.13,dirty rotten scoundrels (1988),comedy,"",1988,12,nm0000188,tt0095031,movie,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels,76261,nm0000568,"nm0490958,nm0788630,nm0377417",actor,Steve Martin,1988,110,7,0
A Fish Called Wanda,MGM,62493712,1079,tt0095159,623,movie,150248,10,1,7.5,r,71,3.92,fish called wanda  a (1988),comedy|crime,1,1988,7,nm0000092,tt0095159,movie,A Fish Called Wanda,A Fish Called Wanda,149954,"nm0187769,nm0000092","nm0000092,nm0187769",actor,John Cleese,1988,108,7,0
Maniac Cop,SGE,671382,52831,tt0095583,14240,movie,19413,10,1,6.0,r,1,3.5,maniac cop (1988),action|crime|horror|thriller,"",1988,5,nm0040662,tt0095583,movie,Maniac Cop,Maniac Cop,19352,nm0527350,nm0169540,actor,Tom Atkins,1988,85,6,0
The Presidio,Par.,20324096,3197,tt0095897,11851,movie,19718,10,1,5.9,r,7,2.86,presidio  the (1988),action|crime|romance|thriller,"",1988,6,nm0000125,tt0095897,movie,The Presidio,The Presidio,19679,nm0001382,nm0272511,actor,Sean Connery,1988,97,5,0
Rain Man,MGM,172825435,1961,tt0095953,380,movie,536422,10,1,8.0,r,96,3.81,rain man (1988),drama,1,1988,12,nm0000163,tt0095953,movie,Rain Man,Rain Man,535805,nm0001469,"nm0607454,nm0060103",actor,Dustin Hoffman,1988,133,8,0
Vibes,Col.,1883811,2733,tt0096378,21185,movie,5057,10,1,5.7,pg,2,2.0,vibes (1988),adventure|comedy|romance,"",1988,8,nm0490980,tt0096378,movie,Vibes,Vibes,5047,nm0477129,"nm0089634,nm0304665,nm0541632",actress,Cyndi Lauper,1988,99,5,0
All Dogs Go to Heaven,UA,27100027,2123,tt0096787,11497,movie,45085,10,1,6.7,g,15,2.7,all dogs go to heaven (1989),animation|children|comedy|drama|fantasy,"",1989,11,nm0001123,tt0096787,movie,All Dogs Go to Heaven,All Dogs Go to Heaven,44988,"nm0089940,nm0325776,nm0473941","nm0089940,nm0188580,nm0325776,nm0500858,nm0588818,nm0662505,nm0690112,nm0776081,nm0825733,nm0918955",actor,Dom DeLuise,1989,84,6,0
Blaze,BV,19131246,4573,tt0096943,22711,movie,4115,10,1,6.0,r,1,2.0,blaze (1989),comedy|drama,"",1989,12,nm0000056,tt0096943,movie,Blaze,Blaze,4108,nm0005421,"nm0823469,nm0675098,nm0005421",actor,Paul Newman,1989,120,6,0
Crimes and Misdemeanors,Orion,18254702,2973,tt0097123,11562,movie,60095,10,1,7.8,pg-13,18,3.92,crimes and misdemeanors (1989),comedy|crime|drama,"",1989,11,nm0001445,tt0097123,movie,Crimes and Misdemeanors,Crimes and Misdemeanors,60049,nm0000095,nm0000095,actor,Martin Landau,1989,104,7,0
The Karate Kid Part III,Col.,38956288,2422,tt0097647,10495,movie,67831,10,1,5.3,pg,14,1.75,karate kid  part iii  the (1989),action|adventure|children|drama,1,1989,6,nm0001494,tt0097647,movie,The Karate Kid Part III,The Karate Kid Part III,67739,nm0000814,nm0436543,actor,Ralph Macchio,1989,112,5,0
Let It Ride,Par.,4973285,4617,tt0097731,19118,movie,6772,10,1,6.8,pg-13,2,3.5,let it ride (1989),comedy,"",1989,8,nm0000377,tt0097731,movie,Let It Ride,Let It Ride,6761,nm0701592,"nm0188832,nm0235683",actor,Richard Dreyfuss,1989,90,6,0
New York Stories,BV,10763469,4628,tt0097965,9686,movie,19404,10,1,6.4,pg,4,3.13,new york stories (1989),comedy|drama,"",1989,3,nm0000095,tt0097965,movie,New York Stories,New York Stories,19365,"nm0000095,nm0000338,nm0000217","nm0697115,nm0000095,nm0000338,nm0001068",actor,Woody Allen,1989,124,6,0
She's Out of Control,Col.,12065892,4663,tt0098308,47045,movie,4760,10,1,5.4,pg,3,2.83,she's out of control (1989),comedy,"",1989,4,nm0001103,tt0098308,movie,She's Out of Control,She's Out of Control,4748,nm0236769,"nm0935641,nm0622297",actor,Tony Danza,1989,90,5,0
Avalon,Triu,15740796,4174,tt0099073,2302,"","","","","","",1,3.0,avalon (1990),drama,1,"","",nm0001644,tt0099073,movie,Avalon,Avalon,6649,nm0001469,nm0001469,actor,Aidan Quinn,1990,128,7,0
Awakenings,Col.,52096475,3105,tt0099077,11005,movie,154100,10,1,7.8,pg-13,22,3.68,awakenings (1990),drama|mystery,"",1991,1,nm0000134,tt0099077,movie,Awakenings,Awakenings,153781,nm0001508,"nm0755312,nm0001873",actor,Robert De Niro,1990,121,7,0
Flashback,Par.,6488114,5657,tt0099581,12719,movie,5695,10,1,6.2,r,1,4.5,flashback (1990),action|adventure|comedy|crime|drama,"",1990,2,nm0000454,tt0099581,movie,Flashback,Flashback,5691,nm0002171,nm0521739,actor,Dennis Hopper,1990,108,6,0
I Love You to Death,TriS,16186793,6614,tt0099819,3101,movie,15233,10,1,6.4,r,3,2.67,i love you to death (1990),comedy|crime,"",1990,4,nm0000177,tt0099819,movie,I Love You to Death,I Love You to Death,15216,nm0001410,nm0467482,actor,Kevin Kline,1990,97,6,0
Mountains of the Moon,TriS,4011793,5358,tt0100196,33796,movie,4158,10,1,7.1,r,1,3.0,mountains of the moon (1990),adventure,"",1990,2,nm0000920,tt0100196,movie,Mountains of the Moon,Mountains of the Moon,4145,nm0706182,"nm0365938,nm0706182",actor,Patrick Bergin,1990,136,7,0
Nuns on the Run,Fox,10959015,26700,tt0100280,11131,movie,8851,10,1,6.0,pg-13,2,2.25,nuns on the run (1990),comedy|crime,"",1990,3,nm0001385,tt0100280,movie,Nuns on the Run,Nuns on the Run,8832,nm0528718,nm0528718,actor,Eric Idle,1990,89,6,0
Pacific Heights,Fox,29381956,3219,tt0100318,2990,movie,22128,10,1,6.4,r,13,3.19,pacific heights (1990),mystery|thriller,"",1990,9,nm0000429,tt0100318,movie,Pacific Heights,Pacific Heights,22076,nm0772259,nm0002417,actress,Melanie Griffith,1990,102,6,0
Pretty Woman,BV,178406268,597,tt0100405,114,movie,346130,10,1,7.1,r,135,3.49,pretty woman (1990),comedy|romance,1,1990,3,nm0000152,tt0100405,movie,Pretty Woman,Pretty Woman,345514,nm0005190,nm0493369,actor,Richard Gere,1990,119,7,0
Sibling Rivalry,Col.,17854933,6313,tt0100611,108553,movie,2930,10,1,5.4,pg-13,2,2.5,sibling rivalry (1990),comedy,"",1990,10,nm0000263,tt0100611,movie,Sibling Rivalry,Sibling Rivalry,2925,nm0005348,nm0325630,actress,Kirstie Alley,1990,87,5,0
Total Recall,Sony,119412921,2916,tt0100802,861,movie,347256,10,1,7.5,r,88,3.65,total recall (1990),action|adventure|sci-fi|thriller,"",1990,6,nm0000216,tt0100802,movie,Total Recall,Total Recall,346785,nm0000682,"nm0001140,nm0795953,nm0639321,nm0693956,nm0325778",actor,Arnold Schwarzenegger,1990,113,7,0
Tie Me Up! Tie Me Down!,Mira.,4087361,1190,tt0101026,2469,movie,31280,10,1,7.0,r,6,3.17,tie me up! tie me down! (¡átame!) (1990),crime|drama|romance,"",1990,1,nm0000721,tt0101026,movie,Tie Me Up! Tie Me Down!,Átame!,31230,nm0000264,nm0000264,actress,Victoria Abril,1989,101,7,0
Raise the Red Lantern,OrionC,2603061,1280,tt0101640,10404,movie,34617,10,1,8.1,pg,9,4.33,raise the red lantern (da hong deng long gao gao gua) (1991),drama,1,1991,12,nm0000084,tt0101640,movie,Raise the Red Lantern,Da hong denglong gaogao gua,34564,nm0955443,"nm0867263,nm0955600",actress,Gong Li,1991,125,8,0
