title,title_lc,studio,directors,contentRate,rnTimeMin,genres,rlYr,rlMnth,type,primaryName,category,numVotes,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg,gross
Hancock,hancock (2008),0.0,371.0,5.0,92.0,48.0,10.0,10.0,0.0,8.0,104.0,503165.0,503763.0,10.0,1.0,6.4,29.0,3.03,2.27946274E8
Rebel Without a Cause,rebel without a cause (1955),0.0,0.0,0.0,111.0,1532.0,57.0,57.0,0.0,0.0,2147.0,96064.0,96187.0,10.0,1.0,7.6,15.0,4.1,199963.0
She's Gotta Have It,she's gotta have it (1986),0.0,3.0,85.0,84.0,2427.0,30.0,30.0,1.0,1.0,6.0,15960.0,15970.0,10.0,1.0,6.8,6.0,3.33,7137502.0
An American Tail: Fievel Goes West,american tail: fievel goes west  an (1991),0.0,506.0,1.0,75.0,348.0,28.0,28.0,0.0,4.0,2388.0,27720.0,27768.0,10.0,1.0,6.5,10.0,2.7,2.2166041E7
A Civil Action,civil action  a (1998),0.0,0.0,2.0,115.0,13.0,12.0,12.0,0.0,10.0,502.0,30636.0,30660.0,10.0,1.0,6.6,11.0,3.05,5.6709981E7
A Cinderella Story,cinderella story  a (2004),0.0,3.0,0.0,95.0,274.0,5.0,5.0,1.0,8.0,1023.0,92250.0,92361.0,10.0,1.0,5.9,9.0,3.28,5.1438175E7
King Solomon's Mines,king solomon's mines (1985),0.0,49.0,36.0,100.0,820.0,32.0,32.0,0.0,4.0,229.0,14587.0,14612.0,10.0,1.0,5.2,1.0,2.5,1.5057465E7
Turtle Diary,turtle diary (1985),0.0,5.0,20.0,97.0,1427.0,30.0,30.0,1.0,9.0,225.0,816.0,817.0,10.0,1.0,6.8,2.0,4.0,2156772.0
Tangled,tangled (2010),0.0,572.0,2.0,100.0,288.0,18.0,18.0,1.0,4.0,2656.0,480815.0,481687.0,10.0,1.0,7.7,24.0,3.92,2.00821936E8
Poolhall Junkies,poolhall junkies (2002),1.0,100.0,238.0,99.0,1881.0,93.0,93.0,0.0,12.0,962.0,10642.0,0.0,0.0,0.0,0.0,3.0,3.83,563711.0
"I, Frankenstein",i  frankenstein (2014),0.0,475.0,19.0,92.0,258.0,16.0,16.0,0.0,10.0,1370.0,83123.0,83175.0,10.0,1.0,5.1,2.0,2.25,1.907529E7
Sugar Hill,sugar hill (1994),1.0,0.0,3.0,123.0,79.0,93.0,93.0,0.0,12.0,1780.0,4764.0,0.0,0.0,0.0,0.0,2.0,2.25,1.8225518E7
The Good Thief,good thief  the (2002),0.0,8.0,11.0,109.0,64.0,2.0,2.0,0.0,5.0,24.0,10810.0,10814.0,10.0,1.0,6.5,1.0,4.0,3517797.0
Outland,outland (1981),0.0,22.0,0.0,109.0,18.0,37.0,37.0,0.0,11.0,46.0,31705.0,31757.0,10.0,1.0,6.6,2.0,2.75,1.7374595E7
The Glass Menagerie,glass menagerie  the (1987),0.0,0.0,216.0,134.0,1605.0,29.0,29.0,1.0,11.0,1132.0,2187.0,2195.0,10.0,1.0,7.1,2.0,3.0,895904.0
The Queen,the queen (2006),0.0,0.0,6.0,103.0,147.0,3.0,3.0,1.0,4.0,35.0,114831.0,114884.0,10.0,1.0,7.3,13.0,3.73,5.6441711E7
"Black Cat, White Cat",black cat  white cat (crna macka  beli macor) (1998),0.0,3.0,40.0,127.0,1024.0,6.0,6.0,0.0,7.0,498.0,55671.0,55740.0,10.0,1.0,8.0,9.0,3.94,351447.0
Dickie Roberts: Former Child Star,dickie roberts: former child star (2003),0.0,1.0,4.0,98.0,268.0,2.0,2.0,0.0,6.0,458.0,15298.0,15309.0,10.0,1.0,5.5,5.0,2.3,2.2738671E7
Hero,hero (1992),0.0,2.0,10.0,119.0,57.0,24.0,24.0,0.0,0.0,35.0,23294.0,23326.0,10.0,1.0,6.5,5.0,2.5,1.9507345E7
Chill Factor,chill factor (1999),1.0,258.0,0.0,102.0,124.0,93.0,93.0,0.0,12.0,1799.0,10007.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1263966E7
Snitch,snitch (2013),0.0,29.0,42.0,112.0,41.0,22.0,22.0,0.0,9.0,1289.0,91763.0,91837.0,10.0,1.0,6.4,1.0,3.5,4.2930462E7
Whale Rider,whale rider (2002),0.0,0.0,46.0,101.0,747.0,2.0,2.0,1.0,1.0,530.0,43633.0,43658.0,10.0,1.0,7.5,14.0,3.75,2.0779666E7
Knocked Up,knocked up (2007),1.0,5.0,1.0,129.0,160.0,93.0,93.0,0.0,12.0,278.0,379981.0,0.0,0.0,0.0,0.0,52.0,3.65,1.48768917E8
Jiro Dreams of Sushi,jiro dreams of sushi (2011),0.0,6.0,16.0,81.0,1602.0,15.0,15.0,2.0,2.0,1669.0,37428.0,37466.0,10.0,1.0,7.8,5.0,4.1,2552478.0
Singles,singles (1992),0.0,5.0,0.0,99.0,213.0,24.0,24.0,1.0,6.0,78.0,32008.0,32062.0,10.0,1.0,6.7,11.0,3.18,1.847185E7
Darwin's Nightmare,darwin's nightmare (2004),0.0,6.0,129.0,107.0,1324.0,7.0,7.0,2.0,10.0,2203.0,5624.0,5628.0,10.0,1.0,7.4,1.0,4.0,203746.0
Sky Captain and the World of Tomorrow,sky captain and the world of tomorrow (2004),0.0,17.0,4.0,106.0,144.0,5.0,5.0,1.0,6.0,1514.0,86772.0,86806.0,10.0,1.0,6.1,18.0,2.64,3.7762677E7
Hotel Transylvania,hotel transylvania (2012),0.0,50.0,5.0,91.0,11.0,15.0,15.0,0.0,6.0,1052.0,273482.0,274162.0,10.0,1.0,7.0,11.0,3.41,1.48313048E8
Beginners,beginners (2010),0.0,0.0,15.0,105.0,58.0,17.0,17.0,0.0,7.0,980.0,94102.0,94139.0,10.0,1.0,7.2,4.0,3.63,5790894.0
Crimson Peak,crimson peak (2015),0.0,11.0,1.0,119.0,378.0,11.0,11.0,1.0,0.0,97.0,155662.0,155906.0,10.0,1.0,6.5,1.0,3.5,3.109032E7
The Fiendish Plot of Dr. Fu Manchu,fiendish plot of dr. fu manchu  the (1980),0.0,1.0,0.0,100.0,197.0,36.0,36.0,0.0,1.0,1711.0,2343.0,2345.0,10.0,1.0,4.9,1.0,2.0,1.0697276E7
9,9 (2009),0.0,519.0,15.0,79.0,82.0,19.0,19.0,0.0,6.0,1302.0,145151.0,145327.0,10.0,1.0,7.0,14.0,3.64,3.1749894E7
The FP,the fp (2012),0.0,1.0,91.0,82.0,1561.0,17.0,17.0,0.0,2.0,2473.0,1802.0,1803.0,10.0,1.0,5.4,1.0,4.5,40557.0
A Perfect World,perfect world  a (1993),0.0,10.0,0.0,138.0,14.0,23.0,23.0,0.0,4.0,2.0,85120.0,85248.0,10.0,1.0,7.5,13.0,3.38,3.1130999E7
Long Night's Journey Into Day,long night's journey into day (2000),0.0,6.0,78.0,94.0,1890.0,4.0,4.0,2.0,3.0,1757.0,265.0,265.0,10.0,1.0,7.5,1.0,4.0,50715.0
Sister Act,sister act (1992),0.0,12.0,2.0,100.0,102.0,24.0,24.0,1.0,11.0,360.0,105736.0,105975.0,10.0,1.0,6.5,36.0,3.03,1.3960515E8
Showgirls,showgirls (1995),0.0,0.0,7.0,128.0,1326.0,9.0,9.0,1.0,6.0,142.0,72529.0,72679.0,10.0,1.0,5.0,35.0,2.47,2.0350754E7
Schizopolis,schizopolis (1996),0.0,1.0,93.0,96.0,2329.0,14.0,14.0,0.0,5.0,8.0,5972.0,5976.0,10.0,1.0,6.7,1.0,3.5,10580.0
Stakeout,stakeout (1987),0.0,621.0,2.0,117.0,75.0,29.0,29.0,0.0,1.0,33.0,28039.0,28077.0,10.0,1.0,6.7,8.0,3.0,6.5673233E7
Free Enterprise,free enterprise (1998),0.0,329.0,60.0,113.0,2132.0,12.0,12.0,0.0,7.0,1443.0,3338.0,3342.0,10.0,1.0,6.7,3.0,3.0,30229.0
The Sitter,sitter  the (2011),0.0,1.0,3.0,81.0,360.0,17.0,17.0,0.0,3.0,119.0,72046.0,72068.0,10.0,1.0,5.6,5.0,2.9,3.0441326E7
Meet the Applegates,meet the applegates (1991),0.0,1.0,138.0,90.0,1302.0,28.0,28.0,0.0,9.0,121.0,2551.0,2553.0,10.0,1.0,5.4,1.0,2.0,485772.0
Promised Land,promised land (2012),0.0,0.0,77.0,106.0,26.0,22.0,22.0,0.0,10.0,27.0,39449.0,39478.0,10.0,1.0,6.6,1.0,3.0,316199.0
Kong: Skull Island,kong: skull island (2017),0.0,34.0,0.0,118.0,868.0,31.0,31.0,0.0,2.0,1130.0,337067.0,337556.0,10.0,1.0,6.7,4.0,3.13,1.68052812E8
A Few Good Men,few good men  a (1992),1.0,10.0,10.0,138.0,3.0,93.0,93.0,0.0,12.0,16.0,280107.0,0.0,0.0,0.0,0.0,57.0,3.79,1.41340178E8
Bangkok Dangerous,bangkok dangerous (2008),0.0,19.0,19.0,99.0,0.0,10.0,10.0,0.0,6.0,618.0,57859.0,57894.0,10.0,1.0,5.3,2.0,3.25,1.5298133E7
27 Dresses,27 dresses (2008),0.0,3.0,3.0,111.0,364.0,10.0,10.0,1.0,10.0,220.0,171553.0,171779.0,10.0,1.0,6.1,20.0,3.3,7.6808654E7
What Happens in Vegas,what happens in vegas... (2008),0.0,3.0,3.0,99.0,104.0,10.0,10.0,1.0,11.0,1061.0,184785.0,184984.0,10.0,1.0,6.1,8.0,2.75,8.0277646E7
Maid to Order,maid to order (1987),0.0,38.0,105.0,93.0,420.0,29.0,29.0,1.0,8.0,1803.0,3588.0,3589.0,10.0,1.0,5.5,3.0,1.83,9868521.0
"He Said, She Said",he said  she said (1991),0.0,5.0,4.0,115.0,61.0,28.0,28.0,0.0,9.0,1860.0,7228.0,7239.0,10.0,1.0,5.7,1.0,2.0,9804775.0
The Promise,promise  the (la promesse) (1996),0.0,0.0,1.0,90.0,739.0,14.0,14.0,0.0,11.0,390.0,8422.0,8429.0,10.0,1.0,7.7,2.0,4.5,1.1606005E7
The Texas Chainsaw Massacre,texas chainsaw massacre  the (2003),0.0,11.0,9.0,98.0,493.0,2.0,2.0,1.0,0.0,683.0,150152.0,150405.0,10.0,1.0,6.2,7.0,1.86,8.0571655E7
Maximum Ride,maximum ride (2016),0.0,382.0,318.0,88.0,956.0,20.0,20.0,1.0,1.0,2691.0,4663.0,4663.0,10.0,1.0,3.6,1.0,4.5,4218.0
The Last Seduction,last seduction  the (1994),1.0,10.0,35.0,110.0,1804.0,93.0,93.0,1.0,12.0,196.0,25186.0,0.0,0.0,0.0,0.0,2.0,3.25,5842603.0
Body Heat,body heat (1981),0.0,23.0,0.0,113.0,92.0,37.0,37.0,0.0,1.0,61.0,39196.0,39263.0,10.0,1.0,7.4,10.0,4.0,2.4058838E7
Mission: Impossible - Rogue Nation,mission: impossible - rogue nation (2015),0.0,25.0,4.0,131.0,3.0,11.0,11.0,0.0,8.0,366.0,402042.0,402664.0,10.0,1.0,7.4,17.0,3.65,1.95042377E8
Alice Through the Looking Glass,alice through the looking glass (2016),0.0,59.0,2.0,113.0,378.0,20.0,20.0,1.0,11.0,523.0,118367.0,118651.0,10.0,1.0,6.2,4.0,2.0,7.7041381E7
The Road Warrior,road warrior  the (mad max 2) (1981),0.0,42.0,0.0,96.0,9.0,34.0,34.0,0.0,11.0,207.0,189464.0,189670.0,10.0,1.0,7.6,40.0,4.04,2.3667907E7
The Thing Called Love,thing called love  the (1993),0.0,5.0,4.0,116.0,388.0,23.0,23.0,0.0,1.0,261.0,8583.0,8593.0,10.0,1.0,6.4,2.0,3.5,1029721.0
Ghostbusters II,ghostbusters ii (1989),0.0,240.0,10.0,108.0,49.0,27.0,27.0,0.0,7.0,28.0,217914.0,218375.0,10.0,1.0,6.6,47.0,3.0,1.12494738E8
Anastasia,anastasia (1997),0.0,502.0,3.0,94.0,152.0,14.0,14.0,1.0,4.0,777.0,132470.0,132762.0,10.0,1.0,7.1,20.0,3.35,5.8406347E7
Greenberg,greenberg (2010),1.0,2.0,15.0,107.0,19.0,93.0,93.0,0.0,12.0,75.0,39059.0,0.0,0.0,0.0,0.0,3.0,2.33,4234170.0
The Town Is Quiet,town is quiet  the (ville est tranquille  la) (2000),0.0,0.0,65.0,133.0,588.0,4.0,4.0,1.0,10.0,886.0,1274.0,1274.0,10.0,1.0,7.2,1.0,4.0,441664.0
Luther,luther (2003),0.0,0.0,291.0,123.0,729.0,2.0,2.0,0.0,6.0,2336.0,15854.0,15864.0,10.0,1.0,6.6,1.0,4.0,5791328.0
The Haunting in Connecticut,haunting in connecticut  the (2009),0.0,9.0,19.0,92.0,877.0,19.0,19.0,1.0,2.0,2575.0,64323.0,64429.0,10.0,1.0,5.8,2.0,2.5,5.5389516E7
Disconnect,disconnect (2012),0.0,7.0,169.0,115.0,112.0,22.0,22.0,0.0,8.0,2186.0,77576.0,77619.0,10.0,1.0,7.5,1.0,1.5,1436900.0
Kitchen Stories,kitchen stories (salmer fra kjøkkenet) (2003),1.0,2.0,13.0,95.0,2417.0,93.0,93.0,0.0,12.0,1718.0,8543.0,0.0,0.0,0.0,0.0,3.0,3.67,351235.0
Feast,feast (2005),0.0,213.0,50.0,95.0,2013.0,1.0,1.0,1.0,10.0,883.0,33371.0,33410.0,10.0,1.0,6.2,2.0,2.75,56131.0
Il Divo,divo  il (2008),0.0,0.0,55.0,110.0,869.0,10.0,10.0,0.0,11.0,452.0,18722.0,18735.0,10.0,1.0,7.2,2.0,4.0,240159.0
The Kite Runner,kite runner  the (2007),0.0,0.0,49.0,128.0,1736.0,10.0,10.0,0.0,10.0,165.0,81884.0,81944.0,10.0,1.0,7.6,3.0,3.33,1.5800078E7
A Prairie Home Companion,prairie home companion  a (2006),0.0,67.0,67.0,105.0,516.0,3.0,3.0,1.0,7.0,39.0,23391.0,23402.0,10.0,1.0,6.7,6.0,3.67,2.0342852E7
Dummy,dummy (2002),0.0,5.0,29.0,91.0,134.0,80.0,80.0,0.0,5.0,2129.0,6836.0,6838.0,10.0,1.0,6.6,4.0,3.63,71646.0
In the Heart of the Sea,in the heart of the sea (2015),0.0,48.0,0.0,122.0,217.0,11.0,11.0,0.0,3.0,3.0,146043.0,146227.0,10.0,1.0,6.9,3.0,3.5,2.5020758E7
Requiem,requiem (2006),0.0,7.0,13.0,93.0,838.0,3.0,3.0,1.0,2.0,2217.0,6050.0,6065.0,10.0,1.0,6.9,1.0,3.5,9600.0
The House,the house (2017),0.0,1.0,25.0,88.0,39.0,31.0,31.0,0.0,7.0,2506.0,46201.0,46271.0,10.0,1.0,5.6,1.0,3.5,2.5584504E7
The Last King of Scotland,last king of scotland  the (2006),1.0,7.0,11.0,123.0,127.0,93.0,93.0,0.0,12.0,174.0,193367.0,0.0,0.0,0.0,0.0,20.0,3.98,1.7606684E7
In Time,in time (2011),0.0,662.0,3.0,109.0,737.0,17.0,17.0,0.0,0.0,437.0,435332.0,436093.0,10.0,1.0,6.7,14.0,3.39,3.7520095E7
The Morning After,morning after  the (1986),0.0,37.0,3.0,103.0,233.0,30.0,30.0,1.0,3.0,25.0,7232.0,7250.0,10.0,1.0,5.9,2.0,4.0,2.5147055E7
What Love Is,what love is (2007),1.0,3.0,205.0,93.0,124.0,93.0,93.0,0.0,12.0,962.0,1471.0,0.0,0.0,0.0,0.0,1.0,5.0,18901.0
How the Grinch Stole Christmas,how the grinch stole christmas (a.k.a. the grinch) (2000),0.0,51.0,1.0,104.0,51.0,13.0,13.0,0.0,4.0,3.0,273168.0,273815.0,10.0,1.0,6.3,33.0,3.05,2.60044825E8
Youth Without Youth,youth without youth (2007),0.0,84.0,8.0,124.0,407.0,1.0,1.0,0.0,0.0,19.0,13942.0,13952.0,10.0,1.0,6.1,1.0,2.5,244397.0
The Zero Theorem,zero theorem  the (2013),0.0,246.0,197.0,107.0,1170.0,16.0,16.0,0.0,1.0,40.0,49065.0,49104.0,10.0,1.0,6.0,3.0,3.0,257706.0
Open Season,open season (2006),0.0,181.0,5.0,86.0,122.0,3.0,3.0,0.0,6.0,1315.0,103325.0,103491.0,10.0,1.0,6.1,2.0,3.0,8.5105259E7
All the Right Moves,all the right moves (1983),0.0,4.0,3.0,91.0,3.0,35.0,35.0,0.0,0.0,798.0,20040.0,20056.0,10.0,1.0,6.0,2.0,2.25,1.7233166E7
The Night Before,the night before (1988),0.0,1.0,5.0,90.0,20.0,25.0,25.0,0.0,5.0,290.0,3513.0,3521.0,10.0,1.0,6.1,1.0,3.0,4.3047372E7
Dracula Untold,dracula untold (2014),0.0,281.0,1.0,92.0,1840.0,16.0,16.0,0.0,0.0,2695.0,204322.0,204614.0,10.0,1.0,6.2,4.0,3.5,5.6280355E7
Soldier,soldier (1998),0.0,487.0,0.0,99.0,54.0,6.0,6.0,0.0,0.0,161.0,58782.0,58819.0,10.0,1.0,6.0,8.0,3.06,1.4594226E7
Focus,focus (2001),1.0,0.0,31.0,106.0,304.0,93.0,93.0,0.0,12.0,2268.0,3102.0,0.0,0.0,0.0,0.0,1.0,3.5,645418.0
Lola Versus,lola versus (2012),0.0,3.0,11.0,87.0,228.0,15.0,15.0,1.0,7.0,2383.0,8923.0,8927.0,10.0,1.0,5.5,1.0,1.5,252603.0
The Nanny Diaries,nanny diaries  the (2007),0.0,5.0,56.0,106.0,101.0,1.0,1.0,1.0,1.0,774.0,63012.0,63078.0,10.0,1.0,6.2,3.0,3.17,2.5930652E7
The Godfather Part III,godfather: part iii  the (1990),0.0,39.0,4.0,162.0,34.0,26.0,26.0,0.0,3.0,19.0,415646.0,416202.0,10.0,1.0,7.6,45.0,3.36,6.6666062E7
House Party 3,house party 3 (1994),0.0,1.0,9.0,100.0,329.0,21.0,21.0,0.0,10.0,2000.0,5560.0,5561.0,10.0,1.0,4.6,1.0,1.0,1.9281235E7
The Roommate,roommate  the (2011),0.0,7.0,24.0,94.0,1976.0,17.0,17.0,1.0,9.0,1490.0,40766.0,40801.0,10.0,1.0,4.8,1.0,2.0,3.7300107E7
To Kill a Mockingbird,to kill a mockingbird (1962),0.0,0.0,1.0,129.0,474.0,65.0,65.0,0.0,2.0,434.0,327411.0,327748.0,10.0,1.0,8.3,58.0,4.12,592237.0
The Mask of Zorro,mask of zorro  the (1998),0.0,94.0,5.0,136.0,93.0,6.0,6.0,0.0,8.0,90.0,194069.0,194285.0,10.0,1.0,6.8,60.0,3.1,9.4095523E7
Upside Down,upside down (2012),0.0,84.0,92.0,109.0,282.0,22.0,22.0,0.0,11.0,2276.0,73368.0,73409.0,10.0,1.0,6.3,1.0,3.0,105095.0
Fire and Ice,fire and ice (1983),0.0,233.0,3.0,81.0,2139.0,35.0,35.0,0.0,1.0,717.0,12062.0,12096.0,10.0,1.0,6.5,1.0,1.5,760883.0
Nowhere in Africa,nowhere in africa (nirgendwo in afrika) (2001),0.0,0.0,73.0,141.0,1681.0,2.0,2.0,1.0,11.0,953.0,13789.0,13799.0,10.0,1.0,7.5,2.0,3.75,6180200.0
For Your Eyes Only,for your eyes only (1981),0.0,25.0,7.0,127.0,201.0,37.0,37.0,0.0,7.0,166.0,106184.0,106367.0,10.0,1.0,6.7,21.0,3.55,5.4812802E7
Moonstruck,moonstruck (1987),1.0,3.0,7.0,102.0,323.0,93.0,93.0,1.0,12.0,51.0,65147.0,0.0,0.0,0.0,0.0,27.0,3.56,8.0640528E7
Blind Fury,blind fury (1989),0.0,18.0,12.0,86.0,394.0,26.0,26.0,0.0,2.0,37.0,18272.0,18291.0,10.0,1.0,6.3,2.0,3.25,2692037.0
Born to Be Wild,born to be wild (1995),0.0,158.0,0.0,100.0,2470.0,9.0,9.0,0.0,2.0,879.0,1639.0,1645.0,10.0,1.0,5.1,1.0,0.5,3730409.0
The Expendables 2,expendables 2  the (2012),0.0,47.0,19.0,103.0,7.0,15.0,15.0,0.0,1.0,181.0,318527.0,318847.0,10.0,1.0,6.6,10.0,3.5,8.5028192E7
Bruce Almighty,bruce almighty (2003),0.0,72.0,1.0,101.0,51.0,2.0,2.0,0.0,11.0,203.0,423697.0,424233.0,10.0,1.0,6.8,71.0,3.32,2.42829261E8
Julie & Julia,julie & julia (2009),0.0,5.0,5.0,123.0,136.0,19.0,19.0,1.0,1.0,197.0,126534.0,126693.0,10.0,1.0,7.0,12.0,2.96,9.4125426E7
Father of the Bride Part II,father of the bride part ii (1995),0.0,1.0,2.0,106.0,15.0,9.0,9.0,0.0,3.0,242.0,40805.0,40861.0,10.0,1.0,6.1,49.0,3.07,7.6594107E7
Johnny English,johnny english (2003),0.0,153.0,1.0,89.0,393.0,2.0,2.0,0.0,8.0,409.0,170694.0,170929.0,10.0,1.0,6.2,13.0,2.96,2.8082366E7
Ride Along 2,ride along 2 (2016),0.0,13.0,1.0,102.0,68.0,20.0,20.0,0.0,10.0,133.0,61898.0,61962.0,10.0,1.0,5.9,3.0,2.0,9.122183E7
Knock Knock,knock knock (2015),0.0,73.0,133.0,99.0,20.0,11.0,11.0,0.0,0.0,321.0,101839.0,102008.0,10.0,1.0,4.9,1.0,1.5,36336.0
Whatever,whatever (1998),0.0,0.0,8.0,112.0,1815.0,6.0,6.0,1.0,8.0,2267.0,1031.0,1031.0,10.0,1.0,6.3,2.0,3.5,307037.0
Balls of Fury,balls of fury (2007),0.0,1.0,62.0,90.0,638.0,1.0,1.0,0.0,1.0,854.0,44241.0,44290.0,10.0,1.0,5.3,3.0,2.83,3.288694E7
Your Sister's Sister,your sister's sister (2011),0.0,2.0,13.0,90.0,373.0,15.0,15.0,0.0,7.0,679.0,28150.0,28167.0,10.0,1.0,6.7,1.0,4.0,1636190.0
Death and the Maiden,death and the maiden (1994),0.0,7.0,23.0,103.0,133.0,9.0,9.0,1.0,10.0,32.0,26230.0,26272.0,10.0,1.0,7.2,7.0,3.43,3103716.0
Exotica,exotica (1994),1.0,0.0,6.0,103.0,609.0,93.0,93.0,0.0,12.0,259.0,20741.0,0.0,0.0,0.0,0.0,12.0,3.5,4221036.0
Oldboy,oldboy (2013),0.0,217.0,97.0,104.0,361.0,22.0,22.0,0.0,4.0,6.0,79465.0,79533.0,10.0,1.0,5.8,2.0,3.0,707481.0
Jaws,jaws (1975),0.0,180.0,1.0,124.0,295.0,46.0,46.0,0.0,7.0,1.0,643948.0,645028.0,10.0,1.0,8.1,91.0,4.01,2.6E8
Raise Your Voice,raise your voice (2004),0.0,57.0,9.0,107.0,274.0,5.0,5.0,1.0,0.0,603.0,28627.0,28643.0,10.0,1.0,5.8,1.0,5.0,1.041198E7
Goosebumps,goosebumps (2015),0.0,302.0,5.0,103.0,111.0,11.0,11.0,0.0,0.0,1098.0,93894.0,94090.0,10.0,1.0,6.3,2.0,2.0,8.0080379E7
Stanley & Iris,stanley & iris (1990),0.0,4.0,7.0,104.0,233.0,26.0,26.0,1.0,9.0,629.0,8352.0,8362.0,10.0,1.0,6.3,2.0,2.75,5820015.0
Porky's II: The Next Day,porky's ii: the next day (1983),0.0,1.0,3.0,98.0,639.0,35.0,35.0,0.0,7.0,217.0,12573.0,12586.0,10.0,1.0,5.0,4.0,1.75,3.3759266E7
Metroland,metroland (1997),0.0,2.0,14.0,105.0,36.0,6.0,6.0,0.0,1.0,2205.0,3556.0,3560.0,10.0,1.0,6.3,1.0,3.0,26682.0
