title,studio,genres,numVotes,directors,category,primaryName,title_lc,contentRate,rlYr,type,rlMnth,rnTimeMin,gross,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg
Star Trek VI: The Undiscovered Country,Par.,action|mystery|sci-fi,79589,nm0583292,actor,William Shatner,star trek vi: the undiscovered country (1991),pg,1991,movie,12,110,74888996,79667,10,1,7.2,42,3.35
The Reaping,WB,horror|thriller,44252,nm0394280,actress,Hilary Swank,reaping  the (2007),r,2007,movie,4,99,25126214,44270,10,1,5.6,3,2.5
Bed of Roses,NL,drama|romance,8650,nm0325533,actor,Christian Slater,bed of roses (1996),pg,1996,movie,1,87,19030691,8659,10,1,6.0,8,4.0
Urban Legends: Final Cut,Sony,horror,18698,nm0653211,actress,Jennifer Morrison,urban legends: final cut (2000),r,2000,movie,9,97,21468807,18730,10,1,4.4,3,1.5
All Over the Guy,Lions,comedy,4942,nm0006874,actor,Dan Bucatinsky,all over the guy (2001),r,2002,movie,3,95,1022324,4946,10,1,6.4,1,3.0
The Mission,WB,drama,64421,nm0423646,actor,Robert De Niro,mission  the (1986),pg,1986,movie,10,125,17218023,64497,10,1,7.4,9,3.5
The Apple,NYer,drama,2672,nm0538533,actress,Massoumeh Naderi,apple  the (sib) (1998),"",1999,movie,2,86,15207,2674,10,1,7.2,1,4.0
Hancock,Sony,action|adventure|comedy|crime|fantasy,503165,nm0000916,actor,Will Smith,hancock (2008),pg-13,2008,movie,7,92,227946274,503763,10,1,6.4,29,3.03
Rebel Without a Cause,WB,drama,96064,nm0712947,actor,James Dean,rebel without a cause (1955),pg-13,1955,movie,10,111,199963,96187,10,1,7.6,15,4.1
She's Gotta Have It,Isld,comedy|romance,15960,nm0000490,actress,Tracy Camilla Johns,she's gotta have it (1986),r,1986,movie,8,84,7137502,15970,10,1,6.8,6,3.33
An American Tail: Fievel Goes West,Uni.,adventure|animation|children|musical|western,27720,"nm0920425,nm0629216",actor,James Stewart,american tail: fievel goes west  an (1991),g,1991,movie,11,75,22166041,27768,10,1,6.5,10,2.7
A Civil Action,BV,drama,30636,nm0001873,actor,John Travolta,civil action  a (1998),pg-13,1999,movie,1,115,56709981,30660,10,1,6.6,11,3.05
A Cinderella Story,WB,comedy|romance,92250,nm0743093,actress,Hilary Duff,cinderella story  a (2004),pg,2004,movie,7,95,51438175,92361,10,1,5.9,9,3.28
King Solomon's Mines,Can.,adventure|comedy,14587,nm0496746,actor,Richard Chamberlain,king solomon's mines (1985),pg-13,1985,movie,11,100,15057465,14612,10,1,5.2,1,2.5
Turtle Diary,Gold.,comedy|drama|romance,816,nm0410139,actress,Glenda Jackson,turtle diary (1985),pg,1986,movie,2,97,2156772,817,10,1,6.8,2,4.0
Tangled,BV,animation|children|comedy|fantasy|musical|romance|imax,480815,"nm1977355,nm0397174",actress,Mandy Moore,tangled (2010),pg,2010,movie,11,100,200821936,481687,10,1,7.7,24,3.92
Poolhall Junkies,GldC,comedy|drama|thriller,10642,nm0552358,actor,Mars Callahan,poolhall junkies (2002),"","","","",99,563711,"","","","",3,3.83
"I, Frankenstein",LGF,action|fantasy|sci-fi|imax,83123,nm0064181,actor,Aaron Eckhart,i  frankenstein (2014),pg-13,2014,movie,1,92,19075290,83175,10,1,5.1,2,2.25
Sugar Hill,Fox,drama,4764,nm0406687,actor,Wesley Snipes,sugar hill (1994),"","","","",123,18225518,"","","","",2,2.25
The Good Thief,FoxS,crime|drama,10810,nm0001403,actor,Nick Nolte,good thief  the (2002),r,2003,movie,4,109,3517797,10814,10,1,6.5,1,4.0
Outland,WB,action|sci-fi|thriller,31705,nm0001382,actor,Sean Connery,outland (1981),r,1981,movie,5,109,17374595,31757,10,1,6.6,2,2.75
The Glass Menagerie,Cinpx,drama,2187,nm0000056,actress,Joanne Woodward,glass menagerie  the (1987),pg,1987,movie,5,134,895904,2195,10,1,7.1,2,3.0
The Queen,Mira.,drama,114831,nm0001241,actress,Helen Mirren,the queen (2006),pg-13,2006,movie,11,103,56441711,114884,10,1,7.3,13,3.73
"Black Cat, White Cat",USA,comedy|romance,55671,nm0001437,actor,Bajram Severdzan,black cat  white cat (crna macka  beli macor) (1998),r,1998,movie,6,127,351447,55740,10,1,8.0,9,3.94
Dickie Roberts: Former Child Star,Par.,comedy,15298,nm0918873,actor,David Spade,dickie roberts: former child star (2003),pg-13,2003,movie,9,98,22738671,15309,10,1,5.5,5,2.3
Hero,Col.,comedy|drama,23294,nm0001241,actor,Dustin Hoffman,hero (1992),pg-13,1992,movie,10,119,19507345,23326,10,1,6.5,5,2.5
Chill Factor,WB,action|adventure|comedy|thriller,10007,nm0425244,actor,Cuba Gooding Jr.,chill factor (1999),"","","","",102,11263966,"","","","",1,1.0
Snitch,LG/S,action|drama|thriller,91763,nm0006846,actor,Dwayne Johnson,snitch (2013),pg-13,2013,movie,2,112,42930462,91837,10,1,6.4,1,3.5
Whale Rider,NM,drama,43633,nm0138927,actress,Keisha Castle-Hughes,whale rider (2002),pg-13,2003,movie,8,101,20779666,43658,10,1,7.5,14,3.75
Knocked Up,Uni.,comedy|drama|romance,379981,nm0031976,actor,Seth Rogen,knocked up (2007),"","","","",129,148768917,"","","","",52,3.65
Jiro Dreams of Sushi,Magn.,documentary,37428,nm0312173,self,Jiro Ono,jiro dreams of sushi (2011),pg,2012,movie,3,81,2552478,37466,10,1,7.8,5,4.1
Singles,WB,comedy|drama|romance,32008,nm0001081,actress,Bridget Fonda,singles (1992),pg-13,1992,movie,9,99,18471850,32062,10,1,6.7,11,3.18
Darwin's Nightmare,ICir,documentary,5624,nm0767012,self,Elizabeth 'Eliza' Maganga Nsese,darwin's nightmare (2004),"",2005,movie,1,107,203746,5628,10,1,7.4,1,4.0
Sky Captain and the World of Tomorrow,Par.,action|adventure|sci-fi,86772,nm0175775,actress,Gwyneth Paltrow,sky captain and the world of tomorrow (2004),pg,2004,movie,9,106,37762677,86806,10,1,6.1,18,2.64
Hotel Transylvania,Sony,animation|children|comedy,273482,nm0850733,actor,Adam Sandler,hotel transylvania (2012),pg,2012,movie,9,91,148313048,274162,10,1,7.0,11,3.41
Beginners,Focus,drama,94102,nm0590122,actor,Ewan McGregor,beginners (2010),r,2011,movie,6,105,5790894,94139,10,1,7.2,4,3.63
Crimson Peak,Uni.,horror,155662,nm0868219,actress,Mia Wasikowska,crimson peak (2015),r,2015,movie,10,119,31090320,155906,10,1,6.5,1,3.5
The Fiendish Plot of Dr. Fu Manchu,WB,comedy,2343,"nm0353592,nm0703689,nm0000634",actor,Peter Sellers,fiendish plot of dr. fu manchu  the (1980),pg,1980,movie,8,100,10697276,2345,10,1,4.9,1,2.0
9,Focus,adventure|animation|sci-fi,145151,nm0009942,actor,Elijah Wood,9 (2009),pg-13,2009,movie,9,79,31749894,145327,10,1,7.0,14,3.64
The FP,Drft.,comedy,1802,"nm1060930,nm1875808",actor,Jason Trost,the fp (2012),r,2011,movie,3,82,40557,1803,10,1,5.4,1,4.5
A Perfect World,WB,crime|drama|thriller,85120,nm0000142,actor,Kevin Costner,perfect world  a (1993),pg-13,1993,movie,11,138,31130999,85248,10,1,7.5,13,3.38
Long Night's Journey Into Day,7Art,documentary,265,"nm0389161,nm0717266",self,Mary Burton,long night's journey into day (2000),not rated,2001,movie,12,94,50715,265,10,1,7.5,1,4.0
Sister Act,BV,comedy|crime,105736,nm0001915,actress,Whoopi Goldberg,sister act (1992),pg,1992,movie,5,100,139605150,105975,10,1,6.5,36,3.03
Showgirls,MGM,drama,72529,nm0000682,actress,Elizabeth Berkley,showgirls (1995),nc-17,1995,movie,9,128,20350754,72679,10,1,5.0,35,2.47
Schizopolis,N.Arts,comedy,5972,nm0001752,actor,Steven Soderbergh,schizopolis (1996),not rated,1997,movie,4,96,10580,5976,10,1,6.7,1,3.5
Stakeout,BV,comedy|crime|romance|thriller,28039,nm0000824,actor,Richard Dreyfuss,stakeout (1987),r,1987,movie,8,117,65673233,28077,10,1,6.7,8,3.0
Free Enterprise,Reg.,comedy|romance|sci-fi,3338,nm0122428,actor,Rafer Weigel,free enterprise (1998),r,1999,movie,6,113,30229,3342,10,1,6.7,3,3.0
The Sitter,Fox,comedy,72046,nm0337773,actor,Jonah Hill,sitter  the (2011),r,2011,movie,12,81,30441326,72068,10,1,5.6,5,2.9
Meet the Applegates,Trit,comedy,2551,nm0499724,actor,Ed Begley Jr.,meet the applegates (1991),r,1991,movie,2,90,485772,2553,10,1,5.4,1,2.0
Promised Land,Vest,drama,39449,nm0001814,actor,Matt Damon,promised land (2012),r,2013,movie,1,106,316199,39478,10,1,6.6,1,3.0
Kong: Skull Island,WB,action|adventure|fantasy,337067,nm3611349,actor,Tom Hiddleston,kong: skull island (2017),pg-13,2017,movie,3,118,168052812,337556,10,1,6.7,4,3.13
A Few Good Men,Col.,crime|drama|thriller,280107,nm0001661,actor,Tom Cruise,few good men  a (1992),"","","","",138,141340178,"","","","",57,3.79
Bangkok Dangerous,LGF,action|crime|thriller,57859,"nm0659380,nm0161152",actor,Nicolas Cage,bangkok dangerous (2008),r,2008,movie,9,99,15298133,57894,10,1,5.3,2,3.25
27 Dresses,Fox,comedy|romance,171553,nm0281945,actress,Katherine Heigl,27 dresses (2008),pg-13,2008,movie,1,111,76808654,171779,10,1,6.1,20,3.3
What Happens in Vegas,Fox,comedy|romance,184785,nm0891114,actress,Cameron Diaz,what happens in vegas... (2008),pg-13,2008,movie,5,99,80277646,184984,10,1,6.1,8,2.75
Maid to Order,NCeV,comedy|fantasy,3588,nm0427468,actress,Ally Sheedy,maid to order (1987),pg,1987,movie,7,93,9868521,3589,10,1,5.5,3,1.83
"He Said, She Said",Par.,comedy|drama|romance,7228,"nm0477129,nm0798749",actor,Kevin Bacon,he said  she said (1991),pg-13,1991,movie,2,115,9804775,7239,10,1,5.7,1,2.0
The Promise,Uni.,drama,8422,"nm0201094,nm0201095",actor,Jérémie Renier,promise  the (la promesse) (1996),not rated,1997,movie,5,90,11606005,8429,10,1,7.7,2,4.5
The Texas Chainsaw Massacre,NL,horror,150152,nm1197971,actress,Jessica Biel,texas chainsaw massacre  the (2003),r,2003,movie,10,98,80571655,150405,10,1,6.2,7,1.86
Maximum Ride,TUG,action|adventure|comedy|fantasy|sci-fi|thriller,4663,nm2371848,actress,Allie Marie Evans,maximum ride (2016),pg-13,2016,movie,8,88,4218,4663,10,1,3.6,1,4.5
The Last Seduction,Oct.,crime|drama|thriller,25186,nm0001093,actress,Linda Fiorentino,last seduction  the (1994),"","","","",110,5842603,"","","","",2,3.25
Body Heat,WB,crime|thriller,39196,nm0001410,actor,William Hurt,body heat (1981),r,1981,movie,8,113,24058838,39263,10,1,7.4,10,4.0
Mission: Impossible - Rogue Nation,Par.,action|adventure|thriller,402042,nm0003160,actor,Tom Cruise,mission: impossible - rogue nation (2015),pg-13,2015,movie,7,131,195042377,402664,10,1,7.4,17,3.65
Alice Through the Looking Glass,BV,adventure|children|fantasy,118367,nm0090386,actress,Mia Wasikowska,alice through the looking glass (2016),pg,2016,movie,5,113,77041381,118651,10,1,6.2,4,2.0
The Road Warrior,WB,action|adventure|sci-fi|thriller,189464,nm0004306,actor,Mel Gibson,road warrior  the (mad max 2) (1981),r,1982,movie,5,96,23667907,189670,10,1,7.6,40,4.04
The Thing Called Love,Par.,comedy|drama|romance,8583,nm0000953,actor,River Phoenix,thing called love  the (1993),pg-13,1993,movie,8,116,1029721,8593,10,1,6.4,2,3.5
Ghostbusters II,Col.,comedy|fantasy|sci-fi,217914,nm0718645,actor,Bill Murray,ghostbusters ii (1989),pg,1989,movie,6,108,112494738,218375,10,1,6.6,47,3.0
Anastasia,Fox,adventure|animation|children|drama|musical,132470,"nm0089940,nm0325776",actress,Meg Ryan,anastasia (1997),g,1997,movie,11,94,58406347,132762,10,1,7.1,20,3.35
Greenberg,Focus,comedy|drama,39059,nm0000876,actor,Ben Stiller,greenberg (2010),"","","","",107,4234170,"","","","",3,2.33
The Town Is Quiet,NYer,drama,1274,nm0350168,actress,Ariane Ascaride,town is quiet  the (ville est tranquille  la) (2000),"",2001,movie,1,133,441664,1274,10,1,7.2,1,4.0
Luther,RS,drama,15854,nm0863254,actor,Joseph Fiennes,luther (2003),pg-13,2003,movie,9,123,5791328,15864,10,1,6.6,1,4.0
The Haunting in Connecticut,LGF,horror|thriller,64323,nm1433996,actress,Virginia Madsen,haunting in connecticut  the (2009),pg-13,2009,movie,3,92,55389516,64429,10,1,5.8,2,2.5
Disconnect,LD,drama|thriller,77576,nm0748066,actor,Jason Bateman,disconnect (2012),r,2013,movie,7,115,1436900,77619,10,1,7.5,1,1.5
Kitchen Stories,IFC,comedy|drama,8543,nm0357584,actor,Tomas Norström,kitchen stories (salmer fra kjøkkenet) (2003),"","","","",95,351235,"","","","",3,3.67
Feast,W/Dim.,action|comedy|horror|thriller,33371,nm0347657,actress,Navi Rawat,feast (2005),r,2007,movie,1,95,56131,33410,10,1,6.2,2,2.75
Il Divo,MBox,drama,18722,nm0815204,actor,Toni Servillo,divo  il (2008),not rated,2008,movie,5,110,240159,18735,10,1,7.2,2,4.0
The Kite Runner,ParV,drama,81884,nm0286975,actor,Khalid Abdalla,kite runner  the (2007),pg-13,2008,movie,1,128,15800078,81944,10,1,7.6,3,3.33
A Prairie Home Companion,PicH,comedy|drama|musical,23391,nm0000265,actress,Lily Tomlin,prairie home companion  a (2006),pg-13,2006,movie,6,105,20342852,23402,10,1,6.7,6,3.67
Dummy,Art.,comedy|drama|romance,6836,nm0698119,actor,Adrien Brody,dummy (2002),r,2021,movie,4,91,71646,6838,10,1,6.6,4,3.63
In the Heart of the Sea,WB,action|adventure|drama,146043,nm0000165,actor,Chris Hemsworth,in the heart of the sea (2015),pg-13,2015,movie,12,122,25020758,146227,10,1,6.9,3,3.5
Requiem,IFC,drama|thriller,6050,nm0772691,actress,Sandra Hüller,requiem (2006),tv-ma,2006,movie,3,93,9600,6065,10,1,6.9,1,3.5
The House,WB (NL),comedy,46201,nm1157527,actor,Will Ferrell,the house (2017),r,2017,movie,6,88,25584504,46271,10,1,5.6,1,3.5
The Last King of Scotland,FoxS,drama|thriller,193367,nm0531817,actor,James McAvoy,last king of scotland  the (2006),"","","","",123,17606684,"","","","",20,3.98
In Time,Fox,crime|sci-fi|thriller,435332,nm0629272,actor,Justin Timberlake,in time (2011),pg-13,2011,movie,10,109,37520095,436093,10,1,6.7,14,3.39
The Morning After,Fox,drama|mystery,7232,nm0001486,actress,Jane Fonda,morning after  the (1986),r,1986,movie,12,103,25147055,7250,10,1,5.9,2,4.0
What Love Is,BSky,comedy|romance,1471,nm0552358,actor,Cuba Gooding Jr.,what love is (2007),"","","","",93,18901,"","","","",1,5.0
How the Grinch Stole Christmas,Uni.,children|comedy|fantasy,273168,nm0000165,actor,Jim Carrey,how the grinch stole christmas (a.k.a. the grinch) (2000),pg,2000,movie,11,104,260044825,273815,10,1,6.3,33,3.05
Youth Without Youth,SPC,drama|romance|sci-fi,13942,nm0000338,actor,Tim Roth,youth without youth (2007),r,2007,movie,10,124,244397,13952,10,1,6.1,1,2.5
The Zero Theorem,Ampl.,drama|fantasy|sci-fi,49065,nm0000416,actor,Christoph Waltz,zero theorem  the (2013),r,2014,movie,8,107,257706,49104,10,1,6.0,3,3.0
Open Season,Sony,adventure|animation|children|comedy|imax,103325,"nm0021249,nm0191717,nm0820934",actor,Ashton Kutcher,open season (2006),pg,2006,movie,9,86,85105259,103491,10,1,6.1,2,3.0
All the Right Moves,Fox,drama|romance,20040,nm0152469,actor,Tom Cruise,all the right moves (1983),r,1983,movie,10,91,17233166,20056,10,1,6.0,2,2.25
The Night Before,Sony,comedy,3513,nm0248054,actor,Keanu Reeves,the night before (1988),pg-13,1988,movie,4,90,43047372,3521,10,1,6.1,1,3.0
Dracula Untold,Uni.,action|drama|fantasy,204322,nm2411495,actor,Luke Evans,dracula untold (2014),pg-13,2014,movie,10,92,56280355,204614,10,1,6.2,4,3.5
Soldier,WB,action|sci-fi|war,58782,nm0027271,actor,Kurt Russell,soldier (1998),r,1998,movie,10,99,14594226,58819,10,1,6.0,8,3.06
Focus,ParC,drama,3102,nm0805595,actor,William H. Macy,focus (2001),"","","","",106,645418,"","","","",1,3.5
Lola Versus,FoxS,comedy|romance,8923,nm0918078,actress,Greta Gerwig,lola versus (2012),r,2012,movie,6,87,252603,8927,10,1,5.5,1,1.5
The Nanny Diaries,MGM/W,comedy|drama|romance,63012,"nm0075849,nm0700301",actress,Scarlett Johansson,nanny diaries  the (2007),pg-13,2007,movie,8,106,25930652,63078,10,1,6.2,3,3.17
The Godfather Part III,Par.,crime|drama|mystery|thriller,415646,nm0000338,actor,Al Pacino,godfather: part iii  the (1990),r,1990,movie,12,162,66666062,416202,10,1,7.6,45,3.36
House Party 3,NL,comedy,5560,nm0583754,actor,Christopher Reid,house party 3 (1994),r,1994,movie,1,100,19281235,5561,10,1,4.6,1,1.0
The Roommate,SGem,drama|thriller,40766,nm0160157,actress,Minka Kelly,roommate  the (2011),pg-13,2011,movie,2,94,37300107,40801,10,1,4.8,1,2.0
To Kill a Mockingbird,Uni.,drama,327411,nm0612322,actor,Gregory Peck,to kill a mockingbird (1962),approved,1963,movie,3,129,592237,327748,10,1,8.3,58,4.12
The Mask of Zorro,Sony,action|comedy|romance,194069,nm0132709,actor,Antonio Banderas,mask of zorro  the (1998),pg-13,1998,movie,7,136,94095523,194285,10,1,6.8,60,3.1
Upside Down,MNE,drama|romance|sci-fi,73368,nm0812626,actor,Jim Sturgess,upside down (2012),pg-13,2013,movie,5,109,105095,73409,10,1,6.3,1,3.0
Fire and Ice,Fox,animation|fantasy,12062,nm0000835,actor,Randy Norton,fire and ice (1983),pg,1983,movie,8,81,760883,12096,10,1,6.5,1,1.5
Nowhere in Africa,Zeit.,drama,13789,nm0512862,actress,Juliane Köhler,nowhere in africa (nirgendwo in afrika) (2001),r,2003,movie,5,141,6180200,13799,10,1,7.5,2,3.75
For Your Eyes Only,MGM,action|adventure|thriller,106184,nm0322515,actor,Roger Moore,for your eyes only (1981),pg,1981,movie,6,127,54812802,106367,10,1,6.7,21,3.55
Moonstruck,MGM,comedy|romance,65147,nm0422484,actress,Cher,moonstruck (1987),"","","","",102,80640528,"","","","",27,3.56
Blind Fury,TriS,action|thriller,18272,nm0637518,actor,Rutger Hauer,blind fury (1989),r,1990,movie,3,86,2692037,18291,10,1,6.3,2,3.25
Born to Be Wild,WB,adventure|children|comedy|drama,1639,nm0336726,actor,Wil Horneff,born to be wild (1995),pg,1995,movie,3,100,3730409,1645,10,1,5.1,1,0.5
The Expendables 2,LGF,action|adventure,318527,nm0922346,actor,Sylvester Stallone,expendables 2  the (2012),r,2012,movie,8,103,85028192,318847,10,1,6.6,10,3.5
Bruce Almighty,Uni.,comedy|drama|fantasy|romance,423697,nm0001723,actor,Jim Carrey,bruce almighty (2003),pg-13,2003,movie,5,101,242829261,424233,10,1,6.8,71,3.32
Julie & Julia,Sony,comedy|drama|romance,126534,nm0001188,actress,Amy Adams,julie & julia (2009),pg-13,2009,movie,8,123,94125426,126693,10,1,7.0,12,2.96
Father of the Bride Part II,BV,comedy,40805,nm0796124,actor,Steve Martin,father of the bride part ii (1995),pg,1995,movie,12,106,76594107,40861,10,1,6.1,49,3.07
Johnny English,Uni.,action|comedy|thriller,170694,nm0398185,actor,Rowan Atkinson,johnny english (2003),pg,2003,movie,7,89,28082366,170929,10,1,6.2,13,2.96
Ride Along 2,Uni.,action|comedy,61898,nm1103162,actor,Ice Cube,ride along 2 (2016),pg-13,2016,movie,1,102,91221830,61962,10,1,5.9,3,2.0
Knock Knock,LGP,crime|horror|thriller,101839,nm0744834,actor,Keanu Reeves,knock knock (2015),r,2015,movie,10,99,36336,102008,10,1,4.9,1,1.5
Whatever,SPC,drama,1031,nm0804641,actress,Liza Weil,whatever (1998),r,1998,movie,7,112,307037,1031,10,1,6.3,2,3.5
Balls of Fury,Rog.,comedy,44241,nm0304830,actor,Dan Fogler,balls of fury (2007),pg-13,2007,movie,8,90,32886940,44290,10,1,5.3,3,2.83
Your Sister's Sister,IFC,comedy|drama,28150,nm1119645,actor,Mark Duplass,your sister's sister (2011),r,2012,movie,6,90,1636190,28167,10,1,6.7,1,4.0
Death and the Maiden,FL,drama|thriller,26230,nm0000591,actress,Sigourney Weaver,death and the maiden (1994),r,1995,movie,1,103,3103716,26272,10,1,7.2,7,3.43
Exotica,Mira.,drama,20741,nm0000382,actor,Bruce Greenwood,exotica (1994),"","","","",103,4221036,"","","","",12,3.5
Oldboy,Tar.,action|drama|mystery,79465,nm0000490,actor,Josh Brolin,oldboy (2013),r,2013,movie,11,104,707481,79533,10,1,5.8,2,3.0
Jaws,Uni.,action|horror,643948,nm0000229,actor,Roy Scheider,jaws (1975),pg,1975,movie,6,124,260000000,645028,10,1,8.1,91,4.01
Raise Your Voice,NL,romance,28627,nm0573732,actress,Hilary Duff,raise your voice (2004),pg,2004,movie,10,107,10411980,28643,10,1,5.8,1,5.0
Goosebumps,Sony,adventure|comedy|horror,93894,nm1224299,actor,Jack Black,goosebumps (2015),pg,2015,movie,10,103,80080379,94090,10,1,6.3,2,2.0
Stanley & Iris,MGM,drama|romance,8352,nm0728688,actress,Jane Fonda,stanley & iris (1990),pg-13,1990,movie,2,104,5820015,8362,10,1,6.3,2,2.75
Porky's II: The Next Day,Fox,comedy,12573,nm0163706,actor,Dan Monahan,porky's ii: the next day (1983),r,1983,movie,6,98,33759266,12586,10,1,5.0,4,1.75
Metroland,Lions,comedy|drama,3556,nm0767697,actor,Christian Bale,metroland (1997),r,1998,movie,8,105,26682,3560,10,1,6.3,1,3.0
Shortbus,Think,comedy|drama|romance,34931,nm0593463,actress,Sook-Yin Lee,shortbus (2006),not rated,2006,movie,10,101,1985292,34961,10,1,6.4,3,4.0
Strange Wilderness,ParC,comedy,22535,nm0937748,actor,Steve Zahn,strange wilderness (2008),r,2008,movie,2,87,6575282,22546,10,1,5.2,2,3.25
A Decade Under the Influence,IFC,documentary,2784,"nm0001130,nm0481418",self,Francis Ford Coppola,decade under the influence  a (2003),r,2003,movie,1,138,34837,2784,10,1,7.6,3,3.5
Fences,Par.,drama,114889,nm0000243,actor,Denzel Washington,fences (2016),pg-13,2016,movie,12,139,57682904,115121,10,1,7.2,1,3.0
First Reformed,A24,drama|thriller,61067,nm0001707,actor,Ethan Hawke,first reformed (2017),r,2018,movie,6,113,3448256,61160,10,1,7.1,1,4.0
Red Corner,MGM,crime|thriller,18044,nm0000816,actor,Richard Gere,red corner (1997),r,1997,movie,10,122,22459274,18063,10,1,6.3,3,3.67
Freedomland,SonR,crime|drama,17004,nm0005387,actress,Julianne Moore,freedomland (2006),r,2006,movie,2,113,12512886,17020,10,1,5.2,1,2.0
The Imitation Game,Wein.,drama|thriller|war,806721,nm0878763,actor,Benedict Cumberbatch,the imitation game (2014),pg-13,2014,movie,12,114,91125683,807802,10,1,8.0,50,4.02
Barcelona,FL,comedy|romance,6524,nm0001775,actor,Taylor Nichols,barcelona (1994),pg-13,1994,movie,7,101,7266973,6528,10,1,7.0,13,3.69
Scary Movie 3,Dim.,comedy|horror,155203,nm0001878,actress,Anna Faris,scary movie 3 (2003),pg-13,2003,movie,10,84,110003217,155553,10,1,5.5,20,2.28
First Snow,YFG,drama|thriller,8449,nm1318843,actor,Guy Pearce,first snow (2006),"","","","",101,214864,"","","","",2,3.25
The Official Story,ALM,drama,10538,nm0699933,actress,Norma Aleandro,official story  the (la historia oficial) (1985),not rated,1985,movie,11,112,29426,10553,10,1,7.7,1,4.0
Black Hawk Down,SonR,action|drama|war,415052,nm0000631,actor,Josh Hartnett,black hawk down (2001),r,2002,movie,1,144,108638745,415695,10,1,7.7,50,3.81
Owning Mahowny,SPC,crime|drama|thriller,13959,nm0477193,actor,Philip Seymour Hoffman,owning mahowny (2003),r,2003,movie,9,104,1011871,13991,10,1,7.0,4,3.5
Dogman,Magn.,crime|drama,28739,nm0308520,actor,Marcello Fonte,dogman (2018),not rated,2019,movie,4,103,148225,28787,10,1,7.2,1,3.5
Bebe's Kids,Par.,animation|children|comedy,5428,"nm0807563,nm6547823",actor,Faizon Love,bebe's kids (1992),pg-13,1992,movie,7,70,8442162,5435,10,1,5.8,1,1.0
Vantage Point,Sony,action|drama|thriller,153055,nm0871428,actor,Dennis Quaid,vantage point (2008),pg-13,2008,movie,2,90,72266306,153090,10,1,6.6,6,3.42
Rango,Par.,action|adventure|animation|children|comedy|western,286191,nm0893659,actor,Johnny Depp,rango (2011),pg,2011,movie,3,107,123477607,286688,10,1,7.2,17,3.62
The Patriot,Sony,action|thriller,13120,nm0005871,actor,Steven Seagal,patriot  the (1998),"","","","",90,113330342,"","","","",1,3.5
